bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,2695837.26289,1403691.18939,490419.844378,465311.236528,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.22164861,1514.7724282,655.402871135,2066.75982103,31.964235395,270.785770906,118.441080978,372.920498141,42.7429813727,384.950538749,167.13810478,526.7962698,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,2316530.27025,1321548.08776,132065.390707,288609.55678,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.353693054,2034.95323758,871.282373653,2708.83139085,22.9198508657,203.35763555,87.069284999,270.699855198,50.0879750887,444.408309774,190.27716208,591.574861596,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,5.76550169448e+11,7025452.20929,1384412.40131,6515754.13431,3412988.40062,2810180.88371,36938.5711455,131385.037631,399366.617783,817553.21263,4802.01424891,327917.251515,648623.02337,1015665.20303,1297513.70115,42629.2426969,140349.371742,356231.691914,648623.02337,1064441.80585,18245.4183265,436574.808434,817553.21263,1232732.29581,1521198.88204,56754.7250964,238.316400543,2112.81832553,904.688570834,2812.72630941,1130.75850927,10032.6780013,4295.57720408,13355.0217829,589.072110565,5223.80960409,2236.73090295,6954.09114124,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,2506183.76657,1362619.63857,311242.617543,376960.396654,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.953788664,2054.16992222,879.667346758,2734.98061926,34.2629317008,287.191632429,123.649258199,384.777510827,55.6811564111,485.746174888,208.314450701,647.825629976,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,1347918.63145,701845.594694,245209.922189,232655.618264,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0012507665,778.013294496,322.374130578,1095.41604871,12.2559363405,138.836390041,58.9504816179,196.275571866,15.9418653746,197.606677462,82.5245725031,278.585570872,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,808751.178867,421107.356816,147125.953313,139593.370958,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8094680793,388.39561257,158.889356967,551.606120297,6.80239702172,69.3174943457,28.9698514876,99.0868931368,8.93595173893,98.651923542,40.6354544162,140.397796444,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,5012367.53314,2725239.27714,622485.235085,753920.793308,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.655493968,1739.33825339,767.022209202,2338.83775526,32.9914766029,243.513238781,107.562343002,330.061970514,54.014569335,411.451675857,181.524139487,554.45364194,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,2695837.26289,1403691.18939,490419.844378,465311.236528,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3962797541,689.039765481,279.228168207,929.089346097,15.9516053104,123.019214237,50.8126298162,166.903414771,21.3205232235,175.035665023,71.3671747549,236.480475428,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,5012367.53314,2725239.27714,622485.235085,753920.793308,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.570436382,1517.23642315,615.31823707,2069.39387631,26.3881702202,211.991605246,86.7218580394,290.90776108,42.8711994468,358.718615933,145.81831259,490.066042879,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,9.09847955858e+11,11086794.6457,2246271.1667,8697089.15792,5218770.93298,4434717.85827,24510.1604365,85993.3924052,425942.119266,1068201.4858,735.304813095,166439.26647,364436.453002,796285.693113,1378146.7697,4993.1779941,76819.0837788,181334.127442,597459.977729,1158991.16601,2304.57251336,247715.133041,474627.331143,951817.731456,1513724.90464,7431.45399124,19.8147113355,133.068658866,61.5418421758,197.65342026,86.297309735,591.334217411,271.683622413,880.112175367,47.665054263,322.107675424,148.663150608,478.74420355,,,,,,,,,,,,,,,,,,,,,,,,
