pref_id,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,day_pop_V,day_pop_VI,day_pop_VII,day_pop_VIII,day_pop_IX,day_pop_X,night_pop_V,night_pop_VI,night_pop_VII,night_pop_VIII,night_pop_IX,night_pop_X,transit_pop_V,transit_pop_VI,transit_pop_VII,transit_pop_VIII,transit_pop_IX,transit_pop_X,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode,Complete_prob_High_residential,Complete_prob_Low_residential,Complete_prob_Moderate_residential,Complete_prob_Precode_residential,Extensive_prob_High_residential,Extensive_prob_Low_residential,Extensive_prob_Moderate_residential,Extensive_prob_Precode_residential,Moderate_prob_High_residential,Moderate_prob_Low_residential,Moderate_prob_Moderate_residential,Moderate_prob_Precode_residential,Slight_prob_High_residential,Slight_prob_Low_residential,Slight_prob_Moderate_residential,Slight_prob_Precode_residential,Collapse_prob_High_residential,Collapse_prob_Low_residential,Collapse_prob_Moderate_residential,Collapse_prob_Precode_residential,Fatality_rate_High_residential,Fatality_rate_Low_residential,Fatality_rate_Moderate_residential,Fatality_rate_Precode_residential
1,17387553698.1,423746.0468,162272.303846,210675.661023,129753.961242,84749.20936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4447710.8692,5635512.99138,5782934.01952,2219710.99626,1386554.50295,3524.68208655,6592759.7102,7646624.38755,7651623.06126,2919893.64819,1824517.37867,7348.60322104,4660996.10072,4951772.66022,4818065.77115,1826288.51784,1141597.34919,6560.59324725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2374859939.81,57876.88876,18123.4899269,28211.7742952,20811.5714452,11575.377752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4447710.8692,5635512.99138,5782934.01952,2219710.99626,1386554.50295,3524.68208655,6592759.7102,7646624.38755,7651623.06126,2919893.64819,1824517.37867,7348.60322104,4660996.10072,4951772.66022,4818065.77115,1826288.51784,1141597.34919,6560.59324725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,16320840737.1,397749.554816,123270.564985,193702.424359,144003.008266,79549.9109632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4447710.8692,5635512.99138,5782934.01952,2219710.99626,1386554.50295,3524.68208655,6592759.7102,7646624.38755,7651623.06126,2919893.64819,1824517.37867,7348.60322104,4660996.10072,4951772.66022,4818065.77115,1826288.51784,1141597.34919,6560.59324725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,27131842679.6,661220.7374,251116.092406,328449.784219,204073.322986,132244.14748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4447710.8692,5635512.99138,5782934.01952,2219710.99626,1386554.50295,3524.68208655,6592759.7102,7646624.38755,7651623.06126,2919893.64819,1824517.37867,7348.60322104,4660996.10072,4951772.66022,4818065.77115,1826288.51784,1141597.34919,6560.59324725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2215653360.62,53996.92038,19365.2496725,26662.9195321,17537.9486302,10799.384076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4447710.8692,5635512.99138,5782934.01952,2219710.99626,1386554.50295,3524.68208655,6592759.7102,7646624.38755,7651623.06126,2919893.64819,1824517.37867,7348.60322104,4660996.10072,4951772.66022,4818065.77115,1826288.51784,1141597.34919,6560.59324725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4.5690389155e+11,11135046.4345,4015980.98783,5501472.29196,3599368.94124,2227009.2869,74161.5467327,268688.007499,841056.444533,1423108.31208,5670.63218153,551832.797918,939106.269202,1404791.55069,1680538.4906,40635.4634352,270419.574191,619144.491483,1148729.29619,1543268.82958,20107.0788766,724056.439642,1115512.62186,1522466.47193,1751081.3239,51067.2562482,1414.56539583,10097.6145224,4967.80235648,12537.4560391,1428.98452498,10260.4586147,5073.99510049,12811.0512641,938.371787015,6726.46165887,3322.59994593,8392.53081933,4447710.8692,5635512.99138,5782934.01952,2219710.99626,1386554.50295,3524.68208655,6592759.7102,7646624.38755,7651623.06126,2919893.64819,1824517.37867,7348.60322104,4660996.10072,4951772.66022,4818065.77115,1826288.51784,1141597.34919,6560.59324725,0.0414565920304,0.29704352605,0.145486633644,0.378785383529,0.172192006672,0.481917525983,0.329921424857,0.558245353739,0.458793353944,0.672866027236,0.576276006824,0.725975959339,0.683740612194,0.777540988511,0.728040314596,0.812958558393,0.00310214080886,0.0221675179416,0.0109124089544,0.0276747466779,0.000306356145743,0.00219052799123,0.00107947069017,0.00272540662051,0.0333009597979,0.247790972926,0.121427232379,0.325125020313,0.120649702307,0.421689426588,0.27801612464,0.500901647973,0.377661848776,0.630797347344,0.515817021036,0.683637235319,0.639022172222,0.754616741153,0.692978174207,0.786292780277,0.00254629929694,0.0182466519893,0.00902873598005,0.0229308681147,0.000242797132805,0.00175130330476,0.000867993379701,0.00218563999169
17,79709985034.7,1942584.42765,686034.848731,957737.00428,639082.649179,388516.88553,0.308512586942,10.5309335636,473.539715668,6510.51271181,0.0320868748182,154.761384758,1351.76990978,7660.53890736,20987.6414774,16.992880241,12.0210077936,223.925373927,2192.16973291,11513.817425,1.25617464578,406.266247598,2899.9789315,12743.7206106,28451.6560822,42.9488433399,0.0101373361712,4.69815139844,0.345122089541,12.1432691391,0.00908388335062,4.65971809343,0.34542102081,11.8030287991,0.00613452474308,3.06197776895,0.226686957627,7.80145428254,4447710.8692,5635512.99138,5782934.01952,2219710.99626,1386554.50295,3524.68208655,6592759.7102,7646624.38755,7651623.06126,2919893.64819,1824517.37867,7348.60322104,4660996.10072,4951772.66022,4818065.77115,1826288.51784,1141597.34919,6560.59324725,1.34698461058e-06,0.000656983142713,4.84487258292e-05,0.0017237335077,0.000116722949618,0.00555925416104,0.00097180779478,0.0115198272833,0.00518642038571,0.0289147850347,0.0126113283978,0.0480925361917,0.0314735838175,0.0671278671702,0.0445465159565,0.0931665680274,1.09670126792e-07,5.69812524288e-05,4.15030079e-06,0.000146812083712,1.21328490123e-08,5.789480499e-06,4.26660054606e-07,1.48789514246e-05,7.94077679587e-07,0.000398338889563,3.09407602122e-05,0.00104568491803,2.71054720036e-05,0.00347930800468,0.000576359438334,0.00746422881348,0.00121883947212,0.019717389881,0.00564240529706,0.0328009440136,0.016757348147,0.054019895297,0.0296353076375,0.0732314531025,8.25881088139e-08,4.37378164859e-05,3.23325624333e-06,0.000110545628619,8.3994951292e-09,4.4094206134e-06,3.28025105355e-07,1.11118621714e-05
20,2011976682.64,49033.18663,11017.9776851,23296.5863402,20947.0508781,9806.637326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4447710.8692,5635512.99138,5782934.01952,2219710.99626,1386554.50295,3524.68208655,6592759.7102,7646624.38755,7651623.06126,2919893.64819,1824517.37867,7348.60322104,4660996.10072,4951772.66022,4818065.77115,1826288.51784,1141597.34919,6560.59324725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.20541458627e+11,5374739.47577,1866338.01356,2645435.4681,1792513.91523,1074947.89515,111.738041914,1682.99691716,28247.0841613,169998.350731,10.6829465632,11316.6151046,51110.494265,178819.507643,357313.308306,1115.26840724,1814.42994184,15052.2794592,79840.1868467,243581.852213,172.445909091,22772.7247133,87198.2900427,248674.40578,431786.610235,2137.91057628,2.99531006987,302.221309786,45.9230766468,585.057001542,2.84532757786,299.043000782,45.8851204134,573.966745277,1.891681999,196.800388215,30.1340548129,378.887680386,4447710.8692,5635512.99138,5782934.01952,2219710.99626,1386554.50295,3524.68208655,6592759.7102,7646624.38755,7651623.06126,2919893.64819,1824517.37867,7348.60322104,4660996.10072,4951772.66022,4818065.77115,1826288.51784,1141597.34919,6560.59324725,0.000159311936076,0.0159088253707,0.00244084416612,0.0314442962049,0.00431015782359,0.0693088293482,0.0211285086597,0.113721004254,0.0625318332529,0.215650791876,0.121522396037,0.298750311639,0.226401883642,0.381228800964,0.289259978129,0.467364695874,1.27996891344e-05,0.0013349691926,0.000202800370967,0.00258455806009,1.31735742941e-06,0.000134561125491,2.0510205451e-05,0.00025993794593,0.000103947402863,0.0105275940867,0.00168792361939,0.0211849567927,0.00156565441427,0.0475469504107,0.0140027991376,0.0811186202008,0.0262776310263,0.166351791049,0.0742735412634,0.231336241413,0.158145665941,0.332400584174,0.226598752657,0.401681432357,9.93810640623e-06,0.00103750927117,0.000160422574776,0.00198885042328,9.84858140008e-07,0.000103444781952,1.60013480116e-05,0.000197504819594
23,1.31093735137e+11,3194839.99814,1098760.50815,1571012.80892,1073624.97777,638967.999629,0.0014807784529,0.0605263424403,4.11774862943,73.3434172635,6.43467306861e-05,0.662662050167,5.98607628574,69.8386134121,239.902747105,0.0306568366596,0.0615853276003,1.28780300238,20.3592677668,123.279399094,0.00262903591189,2.01502489151,15.700999057,115.650824674,311.254199206,0.0872934950149,2.59030324513e-05,0.0118623789304,0.000899180721022,0.0319051729869,9.75976655625e-05,0.0441394733066,0.00326191856419,0.117705143058,5.40081591539e-05,0.0246714253353,0.00186079092013,0.0662438949286,4447710.8692,5635512.99138,5782934.01952,2219710.99626,1386554.50295,3524.68208655,6592759.7102,7646624.38755,7651623.06126,2919893.64819,1824517.37867,7348.60322104,4660996.10072,4951772.66022,4818065.77115,1826288.51784,1141597.34919,6560.59324725,5.46451038744e-09,2.56488256985e-06,1.98733457643e-07,7.08071886388e-06,5.38116122541e-07,2.19479051526e-05,4.22772677615e-06,4.85588271145e-05,2.72798067731e-05,0.000158601333642,6.8703402242e-05,0.000263160802493,0.00019380361891,0.000435521519591,0.000270723737537,0.000582054887513,3.25967670087e-10,1.67490749495e-07,1.25003385677e-08,4.52397195297e-07,3.70797924169e-11,1.69678654657e-08,1.28422712282e-09,4.56133423652e-08,2.31745322733e-09,1.03708174831e-06,9.63824911984e-08,3.15356151276e-06,9.47251544294e-08,9.36835066734e-06,2.01544209276e-06,2.45724340908e-05,6.44437378995e-06,0.000109299078283,3.18627345636e-05,0.000180996270143,0.000114784179029,0.000375453461275,0.000192935169157,0.000487120167812,1.00704152201e-10,4.79786729185e-08,4.1145032512e-09,1.36616379953e-07,9.54558869643e-12,4.71574703727e-09,4.09443130334e-10,1.33110714942e-08
28,1.1557307099e+11,2816591.26976,1004436.91472,1389999.4291,919169.952493,563318.253952,1.63299323967,55.564606737,2473.80977868,33714.9873973,0.171428392406,820.590412763,7163.9728961,39962.1271755,108623.990277,90.8473325944,63.5597117029,1181.48848826,11429.0915038,59738.7364586,6.70933227721,2149.26203651,15318.3532011,66488.5414294,147502.369122,229.439271679,0.0540612993113,25.0572480326,1.84019123309,64.7431866643,0.0471252224616,24.2785965762,1.79993118054,61.3929398571,0.0320354818757,16.0306541283,1.1861873948,40.7836922729,4447710.8692,5635512.99138,5782934.01952,2219710.99626,1386554.50295,3524.68208655,6592759.7102,7646624.38755,7651623.06126,2919893.64819,1824517.37867,7348.60322104,4660996.10072,4951772.66022,4818065.77115,1826288.51784,1141597.34919,6560.59324725,4.88651794755e-06,0.00238538588481,0.000175715762631,0.00625150255816,0.000422142987459,0.0201797247816,0.00351973831494,0.0417543316886,0.0186896076028,0.104065407213,0.0453981231511,0.173099583075,0.112849171952,0.240242697302,0.159794362528,0.333882444366,4.0024615998e-07,0.000207993324148,1.51434051037e-05,0.000535475154974,4.42589304849e-08,2.11337976852e-05,1.5567921572e-06,5.42734915925e-05,2.89888216513e-06,0.00145670836513,0.00011283091087,0.00381536018304,9.86380369305e-05,0.0127174520723,0.00209737298583,0.0271930708682,0.0043914958575,0.0709405862408,0.0202888712084,0.118030156067,0.0598506921457,0.192828813046,0.10604793301,0.261845534184,3.04318901799e-07,0.000161271771254,1.19103761154e-05,0.0004072995506,3.09642773276e-08,1.62610228773e-05,1.20850968087e-06,4.09495409411e-05
