bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,503.8921839,206.975400667,230.615243284,140.387825698,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41040143586e-05,0.00583051071541,0.000820338885469,0.0123675485512,0.000192406540002,0.0254359701609,0.00357878004708,0.0539542093765,9.48741070877e-05,0.0125422709482,0.00176466746622,0.0266043838123,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,276.47667,157.726069562,15.7619349567,34.4453988853,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,71800545.8437,874.91311278,173.711331863,777.851334608,421.492855921,349.965245112,0.00191344333865,0.0283501864321,0.390626025883,2.1436823546,0.000248747634024,0.242304550795,1.25378014325,3.47092800751,5.80990733052,0.0314995916033,0.0329194021544,0.29610728031,1.25378014325,3.84110498653,0.00427952228007,0.484841698495,2.1436823546,5.23139775557,7.97466816346,0.0630294208044,1.47308961071e-05,0.00185181360642,0.000252318804931,0.0037032796234,3.46465301529e-07,4.35539803457e-05,5.93444622761e-06,8.70997855148e-05,2.45811643283e-05,0.00309008591424,0.000421039559443,0.00617959181265,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,390.18442695,182.350735114,123.188589121,87.4166122915,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42512883066e-05,0.00430571237909,0.00058667470533,0.00861061656664,0.000149423402145,0.0187839413975,0.00255940534668,0.0375643570085,7.36794698157e-05,0.00926220942206,0.00126202205465,0.0185226803073,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,251.94609195,103.487700334,115.307621642,70.1939128488,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44541702755e-06,0.00216058506898,0.000287333115786,0.00491830548961,4.12062265891e-05,0.00942568842199,0.00125350881185,0.021456417419,2.03184567117e-05,0.00464773064736,0.000618095046297,0.010579985711,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,151.16765517,62.0926202002,69.1845729853,42.1163477093,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57343186739e-06,0.00119989258753,0.000153696471612,0.00279618571889,2.86770104703e-05,0.00523460697397,0.000670510536138,0.0121985362829,1.41404016843e-05,0.00258114231774,0.000330623316693,0.00601499947769,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,780.3688539,364.701470229,246.377178241,174.833224583,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43209558276e-05,0.00411294468649,0.000595008423327,0.00842181723612,0.000193352960822,0.0179429801994,0.00259576171624,0.0367407080398,9.53407795314e-05,0.00884753826395,0.00127994908613,0.0181165456694,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,503.8921839,206.975400667,230.615243284,140.387825698,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24475501316e-05,0.00229442186639,0.000284938391428,0.00471797507536,9.79288510393e-05,0.0100095598788,0.00124306167604,0.0205824633714,4.82879235829e-05,0.0049356329355,0.000612943648211,0.010149046046,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,780.3688539,364.701470229,246.377178241,174.833224583,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72615020615e-05,0.00295797577557,0.000360952834827,0.00626752422411,0.000118930019482,0.0129043555936,0.00157467947222,0.0273424691126,5.86434297096e-05,0.00636303326523,0.000776461698622,0.0134823501457,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,180339944.072,2197.50114672,471.669831516,1042.78111229,962.565194208,879.000458688,0.0101616547071,0.127143715875,4.78655498531,42.7558178376,0.000304849641212,0.534452406336,3.29160955402,21.5646789711,75.3721846448,0.0160335721901,0.100288382427,0.648236119607,10.835458725,51.4483765104,0.00300865147281,1.32491617373,6.21158346053,32.7868643499,92.1865196766,0.0397474852119,1.01277139681e-05,0.000512901312526,9.64223708336e-05,0.00126014881188,2.38200137198e-07,1.20632517267e-05,2.26781898006e-06,2.96382402609e-05,1.68999224154e-05,0.000855868601322,0.000160898164317,0.00210278619833,,,,,,,,,,,,,,,,,,,,,,,,
W1,1,,792.8372097,210.838421142,650.864698966,331.605439991,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8870697425e-06,0.000298140903996,5.604870197e-05,0.000732503303792,2.56827124782e-05,0.00130065846852,0.0002445159919,0.00319559179074,1.26639375872e-05,0.000641344160261,0.000120568855923,0.00157572043944,,,,,,,,,,,,,,,,,,,,,,,,
W2,0,161383245.435,1966.5075795,427.88692025,783.829451705,845.63079437,786.6030318,0.00858205145481,0.226427571098,4.67497737607,44.5373102475,0.000257461543644,1.53588931789,7.9233718247,58.7694268526,145.247683263,0.0460766795367,0.246733608984,2.86210503682,20.7408604802,78.5126923383,0.00740200826951,3.64217798866,17.7061374855,86.7732001877,179.363579211,0.10926533966,1.67400647455e-05,0.00280612345566,0.000460042276681,0.00664808098442,3.93720214812e-07,6.59989997978e-05,1.08200264904e-05,0.000156360439047,2.7933825572e-05,0.00468252449053,0.000767663740131,0.011093525469,,,,,,,,,,,,,,,,,,,,,,,,
W2,1,,607.78770963,209.904718529,377.860172122,207.658444689,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29351059428e-06,0.000887346881105,0.000145473670649,0.00210224319068,2.30932733159e-05,0.00387110664773,0.000634638049123,0.00917116830392,1.13871061012e-05,0.00190881134623,0.000312934883782,0.00452222883783,,,,,,,,,,,,,,,,,,,,,,,,
