bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,1179046.49228,563825.385204,340131.128399,251806.656781,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4813513195,213.9852214,85.1243372309,295.529249312,6.7071464631,85.600001193,32.6425773761,122.499578258,6.06675369818,75.8484177603,29.5337625776,106.692717558,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,871625.055559,497249.891446,49691.3444174,108593.150797,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7759000805,272.956579125,108.262720434,365.715700834,2.37598129242,27.2771892315,10.8189468137,36.5468251711,5.19235890684,59.610299505,23.6432227097,79.8677303559,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,2.19637889598e+11,2676359.45402,528573.53287,2451818.79571,1296980.85639,1070543.78161,3859.72648769,16335.9656231,54440.5628886,110214.229151,501.764443399,44426.817946,87933.0162884,137069.26864,177950.836773,5775.48633298,17595.529381,48420.2787623,87933.0162884,143895.992345,2287.41881953,59570.0423998,110214.229151,168233.857219,213115.4432,7744.10551197,24.9529871118,286.770569318,113.626699716,384.527083017,117.225664002,1345.80327996,533.783014317,1803.15615145,61.4798132925,706.313726399,279.953089782,946.846622626,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,1025335.77392,530537.638325,194911.236408,180199.903789,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6220014208,283.3690244,112.125074132,380.371061846,6.06715167107,72.7021374474,27.668708044,100.48176048,7.01244513561,82.0089736948,31.9517035511,111.393529318,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,589523.246142,281912.692602,170065.5642,125903.328391,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94904816051,108.04513378,40.357550367,155.629927986,2.30137137373,42.442052243,15.4140015225,62.933358111,2.07312422061,37.9440751311,13.9739330859,55.4710180698,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,353713.947685,169147.615561,102039.33852,75541.9970343,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44397029643,54.2761431318,20.0642748131,78.6318398648,1.32826476342,21.4337305096,7.66907313223,32.1061987617,1.19832981058,19.1123697723,6.94995214399,28.1668611467,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,2050671.54784,1061075.27665,389822.472817,360399.807578,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7362538545,240.783170233,99.1269252725,325.365597636,6.08604457343,62.2437027237,24.5248682895,87.0071981468,7.04078591908,69.8963213921,28.2765562032,95.7637681031,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,1179046.49228,563825.385204,340131.128399,251806.656781,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71052544842,96.6683141856,35.4674465764,132.442863624,3.34298275515,38.3309100604,13.5640569098,54.085692174,3.02335664135,34.1109482782,12.2887724078,47.4461889676,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,2050671.54784,1061075.27665,389822.472817,360399.807578,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.947235378,208.721454319,77.372330876,287.699742758,4.67020948236,53.3294129064,19.061079509,75.7521463357,5.39687786669,60.305292126,22.0339672941,84.1414497667,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,4.07221178022e+11,4962123.11852,1029271.89286,3276724.01814,2270806.73143,1984849.24741,2604.50151942,10948.489449,66523.6997765,172743.593535,78.1350455826,23326.5821536,56167.0084014,127887.307589,225963.872475,699.797464607,9618.63966786,25718.5393853,95170.1709296,188026.176065,288.559190036,36599.5200452,74699.5492636,153432.186037,250378.086198,1097.98560136,2.15744609181,19.1007415849,7.88843339842,29.9123547023,8.10514748093,72.0204848603,29.7643987152,112.448454958,4.9702113315,44.0479146309,18.1948926609,68.9229295664,,,,,,,,,,,,,,,,,,,,,,,,
W1,1,,1270914.3324,398626.437854,891195.889713,473077.778271,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759627074143,6.70918017721,2.76956665076,10.5275259187,1.21436993919,10.6126633301,4.37205215269,16.7983166446,0.682091623911,5.97318132571,2.46171706013,9.43873808471,,,,,,,,,,,,,,,,,,,,,,,,
W2,0,3.40736233954e+11,4151982.3503,872169.373023,2459900.0445,1870332.65712,1660792.94012,1850.4219101,11733.4153243,52099.789195,140976.45351,55.5126573029,30995.3665287,65926.3495281,160655.213157,259551.884233,929.860995862,12280.1469954,41616.9965814,100265.790246,185400.492035,368.404409863,46508.8360999,93598.4726884,195178.943921,294995.401501,1395.265083,2.99352645594,49.466337787,19.6645884337,74.2675982868,10.3835012459,171.751507476,68.6630182905,255.81053169,6.74958478298,111.562003592,44.4154057647,167.147315085,,,,,,,,,,,,,,,,,,,,,,,,
W2,1,,1219916.48688,510978.252546,533500.708303,330337.480811,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94089787419,32.0886334961,12.7935446157,47.9791758058,1.29841940013,21.4089792934,8.40489429334,32.7065820742,0.924651183354,15.261015562,6.02519640822,23.1338373001,,,,,,,,,,,,,,,,,,,,,,,,
