bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,204888.809046,93144.4885092,71232.1005884,48419.0770138,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59066979179,44.6600576196,15.2743348855,65.9433903641,2.73330713449,57.007935918,17.8278796398,86.6306539786,1.68771640685,33.5780681462,10.727121354,50.6932063259,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,137807.623461,78617.3198777,7856.4126135,17169.0383841,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95802205115,44.7816860368,15.6863995674,63.4090755603,0.295602060587,4.4751386028,1.56757858973,6.33661719603,0.645994981975,9.77975957037,3.42571327414,13.8477482302,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,35028942255.2,426839.1075,84430.1662069,387663.202926,206493.991304,170735.643,498.2205144,2452.93102229,9772.29489287,23999.36635,64.768666872,7676.00514513,17782.0143486,32314.5585048,46224.5738876,997.880668867,2665.62495479,8496.87120793,17782.0143486,34548.7315572,346.531244123,10896.5669651,23999.36635,42813.980214,58975.7931495,1416.55370546,3.24410356484,50.0156233165,17.3565796782,71.0237453038,14.5876363461,220.86440125,77.361878701,312.739943794,7.88187436451,120.83090624,42.0530594494,171.431511822,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,171348.216254,85880.9041935,39544.2566009,32794.057699,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3879623636,53.3900141185,18.3223265603,76.071576458,2.17124374825,42.0295119516,13.0669760882,61.5775747581,1.57085871234,28.2975170159,9.09597307768,41.0866171548,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,102444.404523,46572.2442546,35616.0502942,24209.5385069,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824980214779,21.5362619281,6.93838233397,33.2249207087,0.847915617516,26.7998324646,7.89457235092,42.8855697464,0.527245411821,15.8789647327,4.78041714604,25.1955704672,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,61466.6427139,27943.3465528,21369.6301765,14525.7231041,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.488986072532,10.9788754711,3.48356083946,17.0964995154,0.50720098493,13.7780425586,3.98663198098,22.2438872205,0.314606366353,8.14740683785,2.41053575158,13.0447958192,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,342696.432507,171761.808387,79088.5132019,65588.1153979,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.50142151041,46.134768327,16.4803127932,66.4952118844,2.27934947047,36.6504344677,11.9013628377,54.1561799946,1.63951296919,24.6028310657,8.24865319654,36.0641754952,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,204888.809046,93144.4885092,71232.1005884,48419.0770138,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29092562748,19.7591327614,6.19919381506,28.8026241241,1.36271710135,24.9416364224,7.12273297314,37.476194618,0.841310195902,14.7288447565,4.30251464117,21.9774632934,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,342696.432507,171761.808387,79088.5132019,65588.1153979,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60862792631,38.9341244199,12.4518680842,57.1857716518,1.67354524465,30.4651089921,8.78426620396,46.1804615401,1.21030853624,20.552027384,6.13807467492,30.8365913063,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,71661614146.6,873220.184653,183382.951828,518549.681747,393483.60676,349288.073861,456.693074226,2299.82791278,19115.0735508,60672.2710823,13.7007922268,5498.49173028,15575.530483,42392.3244839,82505.0146134,164.954751908,1984.33820595,6162.29908343,29578.7306171,66955.1269331,59.5301461786,9334.69042728,22007.3777005,52752.0092052,92431.7778538,280.040712818,0.399231669674,4.77623616997,1.72017895502,8.10424201813,0.9391407652,10.2728103301,3.87888730714,16.8847925679,0.824348738931,9.69839647232,3.5233789385,16.3632151622,,,,,,,,,,,,,,,,,,,,,,,,
