bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,494066.240829,203643.085899,224353.071909,136971.69464,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8997960227,215.334951679,109.472564045,275.869781799,16.9121020887,170.602621419,69.0181136857,239.248792015,13.7085922964,114.62381278,50.2412161685,156.226422201,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,273073.692785,155784.718702,15567.9312257,34021.432163,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7931389111,243.38370179,128.574684622,299.729354367,4.47628311531,24.3219024464,12.8487688924,29.9526552667,9.78226073473,53.1519533432,28.0791013856,65.4571384268,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,70857319204.0,863419.587964,171404.467161,768273.283191,416023.357024,345367.835186,7317.6756905,20113.7494774,46852.4254375,78420.0796605,951.297839765,40460.158586,66621.3942134,91181.594722,108082.682134,5259.82061618,21172.5433384,43040.9858205,66621.3942134,94189.995855,2752.43063399,50032.8123512,78420.0796605,104288.363752,120913.353447,6504.26560566,47.2992765472,262.077591,136.960242666,324.296131941,220.856698778,1200.14517182,633.977363201,1478.02658647,116.307747932,640.430145653,335.839876274,791.274079945,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,383569.966807,179713.902301,119960.501567,85496.5634013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0580600383,267.494347609,137.847297755,333.014348064,14.357144162,129.506113151,53.3011276091,175.160536325,14.6544333181,105.017436035,48.025831953,137.057968925,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,247033.120415,101821.54295,112176.535954,68485.8473198,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0632850248,115.781477772,56.6905113609,152.371578798,6.34629866774,85.7485467503,33.5118112965,124.621884725,5.31155232689,58.9190328715,25.0066689105,82.877814775,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,148219.872249,61092.9257698,67305.9215726,41091.5083919,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67655102993,56.9460024605,27.6124192953,75.4199704124,3.54670538092,43.1070032768,16.5599934589,63.2316235797,2.93677187437,29.4015290934,12.2876675868,41.7238164908,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,767139.933615,359427.804602,239921.003134,170993.126803,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9130537854,222.14075472,117.350467973,278.335379014,13.836330858,110.197387724,46.6247575291,150.391945368,13.873960788,88.4128653532,41.4511250636,116.363791016,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,494066.240829,203643.085899,224353.071909,136971.69464,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4263683154,99.983557386,48.1358349455,127.009963724,8.43966303601,76.8518834525,29.1577958748,106.509262659,6.84279308446,52.1508729657,21.5518647892,70.2757169522,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,767139.933615,359427.804602,239921.003134,170993.126803,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2597671598,199.95288064,98.5737630107,253.682435242,11.0619583466,95.3540216244,37.2067230933,132.345481938,11.2914056972,77.8424090227,33.9310087241,103.914344955,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,1.76692758745e+11,2153059.00175,461814.073031,1029850.91538,943958.974792,861223.600701,6515.209146,19385.4984039,78909.4580326,175348.964731,195.45627438,34448.1407593,68713.6641534,136718.14342,216027.923593,1033.44422278,17577.4738531,37131.0051457,106444.109057,187590.390621,527.324215592,48836.5261078,86859.4153783,159187.472743,232910.277596,1465.09578323,5.38770173837,28.7275659556,14.5586052586,40.8778105888,19.3108397793,90.8257740687,49.2284741618,123.281975493,12.253736098,63.2724348331,32.6095977609,89.0197776576,,,,,,,,,,,,,,,,,,,,,,,,
W1,1,,772207.121247,205888.989072,632582.594539,322459.360295,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95406680284,11.1645341494,5.46155634067,16.2523236699,3.52399217578,25.2064503374,11.0831979592,39.0163491477,1.93604701963,13.3613952504,5.97059649985,20.5036390945,,,,,,,,,,,,,,,,,,,,,,,,
W2,0,1.57909907235e+11,1924183.81858,418401.296731,774082.5585,828182.238064,769673.527431,4815.07408554,20027.1552293,66226.668615,155145.827128,144.452222566,43099.851973,80962.8176513,172278.11266,244579.633618,1292.99555919,20746.9840116,54869.7927143,116399.223845,192361.50485,622.409520348,60193.6024776,109676.939386,199872.731732,266430.595644,1805.80807433,7.78427518113,70.7876271574,33.8008133267,99.4180274351,25.5799785821,185.610102897,98.7974450559,244.40648847,17.3096973575,149.412591019,73.0738166649,207.074806596,,,,,,,,,,,,,,,,,,,,,,,,
W2,1,,594146.285903,205986.999197,367389.084141,202232.591941,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91005610549,40.1185774674,20.1368952619,54.7756961013,3.76646158719,47.1552690048,19.7247029045,70.6952285853,2.55759883737,28.3246609556,12.4287705841,41.5349214309,,,,,,,,,,,,,,,,,,,,,,,,
