bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,57940.1236193,25737.1465957,21656.1225644,14273.7832751,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00749631033078,0.948306071797,0.137079959333,1.97918046992,0.00710887655857,0.888468204411,0.12939884319,1.8457244086,0.00452073197802,0.566977498455,0.0823971611478,1.17943538982,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,37266.583272,21260.0640245,2124.56791234,4642.93181011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00932736556995,1.12298534916,0.157116294697,2.21410492344,0.000932105452444,0.112222551922,0.0157009987286,0.221260682445,0.00203697986325,0.245245940647,0.0343122316893,0.483532795014,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,9514267458.88,115934.457885,22949.9681019,104836.474378,56037.9218798,46373.7831542,1.54853409808,22.5885206801,299.645130819,1568.75668908,0.20130943275,187.664468103,933.231477581,2498.23759387,4104.20229874,24.3963808534,26.1933082003,228.450648208,933.231477581,2754.63929999,3.40513006603,370.117689504,1568.75668908,3709.79034575,5567.70817966,48.1152996356,0.0101448155338,1.22033668716,0.170828942102,2.4053334398,0.0459963876078,5.53779466709,0.774792134785,10.9184324162,0.0247122452042,2.97349568104,0.4161742037,5.86142796195,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,47603.3534457,23498.6053101,11890.3452384,9458.35754258,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104862849938,1.26003454157,0.176505321471,2.48265955685,0.00598796441953,0.710108284194,0.100286849016,1.39284718241,0.004529982986,0.540058554548,0.0760208296306,1.06123261259,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,28970.0618097,12868.5732978,10828.0612822,7136.89163753,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016109390326,0.354849081615,0.0482709270008,0.795788299292,0.00152907800013,0.333369603408,0.0456324265425,0.744474202772,0.000972128088668,0.212572013612,0.0290451538043,0.475290698405,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,17382.0370858,7721.1439787,6496.83676932,4282.13498252,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00111879101582,0.196469751264,0.0257829890604,0.450398879007,0.00106135163636,0.184420372393,0.0243640743153,0.420816158836,0.000674873001376,0.117623922645,0.0155095538365,0.268759331695,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,95206.7068913,46997.2106202,23780.6904767,18916.7150852,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135139400473,1.19862230045,0.178474740853,2.41434629389,0.00770790962267,0.674652997653,0.101317357357,1.35213921974,0.00583385379193,0.513353457961,0.0768289412911,1.03095145057,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,57940.1236193,25737.1465957,21656.1225644,14273.7832751,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00381165570205,0.374838332524,0.047761630645,0.759872619096,0.00361371130586,0.351626247377,0.0451235225585,0.709941707795,0.00229823193187,0.224309584895,0.0287262600379,0.453416862707,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,95206.7068913,46997.2106202,23780.6904767,18916.7150852,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00833454938739,0.867533758104,0.108801515433,1.80970837522,0.00475736148914,0.489231592513,0.0618528080198,1.01575125075,0.00359959005756,0.37197632917,0.046876189052,0.773778331445,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,20376911642.1,248299.326755,52422.4835725,140295.223688,111132.060715,99319.730702,0.785572354504,9.73171123423,351.311340287,2945.40666112,0.0235671706351,40.4722119912,243.329257381,1521.71138664,5076.60254153,1.21416635974,7.68631552101,48.9958421802,780.227340382,3518.92698183,0.23058946563,99.3203408549,453.386528424,2280.83115565,6156.6128864,2.97961022565,0.000714339052555,0.0354201783534,0.00674285455669,0.0861460228548,0.00177114612156,0.0881223820892,0.0167414847601,0.214680688148,0.00149043282495,0.0739536228145,0.0140725628585,0.179924556747,,,,,,,,,,,,,,,,,,,,,,,,
W1,1,,76927.2543507,21935.2733233,59444.4911211,30749.7271189,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000307534001713,0.0152304616788,0.00290148374281,0.0370203670895,0.000884329295949,0.0436900431822,0.0083352232456,0.106070773767,0.000454198395727,0.0224459199139,0.00428152518479,0.0545018335624,,,,,,,,,,,,,,,,,,,,,,,,
W2,0,17657913961.5,215167.451553,46056.1722113,105379.923868,94594.8023362,86066.980621,0.559800854713,14.5603553941,289.317368719,2578.56819204,0.0167940256414,96.8695175421,484.580743394,3364.9962229,7995.68641603,2.90608552626,15.8562793222,178.776498592,1234.19223803,4441.15453352,0.475688379667,226.512264104,1058.94350411,4887.21377998,9779.70916039,6.79536792312,0.00100973604353,0.163684762245,0.0273358750739,0.382270326605,0.00211186252718,0.344472765982,0.0573305122238,0.806660267444,0.00204013301655,0.331080471565,0.0552578879659,0.773577479323,,,,,,,,,,,,,,,,,,,,,,,,
W2,1,,64958.285208,24619.0915906,34903.2972384,20086.7929385,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000520612901594,0.0845997116715,0.0141093761815,0.197784496547,0.000819710456139,0.132296697758,0.0221481967515,0.308368926603,0.000461777899391,0.0746280171484,0.0124844077759,0.174052082467,,,,,,,,,,,,,,,,,,,,,,,,
