bldg_type,occ_type,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode
C1,1,,344251.722376,158744.061168,114055.173962,79189.5946466,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24236139007,19.1605610359,6.05535544935,31.9205123248,4.76028352254,42.812389545,18.9792813886,57.507971366,2.37342547488,22.7281821886,9.65360195955,31.5998805764,,,,,,,,,,,,,,,,,,,,,,,,
C2,1,,237882.500298,135708.636065,13561.681342,29637.0670647,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234953039025,13.9609520597,2.45782469299,26.606663299,0.0234794066021,1.39515058551,0.245616168929,2.65886608028,0.051310802146,3.0488971408,0.53675814135,5.81056215302,,,,,,,,,,,,,,,,,,,,,,,,
C2L,0,60311993242.2,734921.345311,145303.771536,669171.029363,355715.921497,293968.538124,81.5524563029,501.160936421,3920.23444523,19612.9960206,10.6018193194,2606.32531717,11508.7822953,32204.1048791,55466.7420345,338.822291232,557.80759054,3086.83243237,11508.7822953,35806.5816009,72.5149867702,4744.25461803,19612.9960206,49611.3450876,77857.0156487,616.753100344,0.579021547735,17.251000822,3.79656551732,31.1668230003,1.1662407985,68.8947700181,12.1467835562,131.258846509,1.16227298103,40.4369777437,8.38633703506,74.2110242847,,,,,,,,,,,,,,,,,,,,,,,,
C2L,1,,291067.111337,147226.348617,63808.4276518,54413.3308556,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01627330368,20.5005051172,5.37511586937,35.093740654,3.43203826324,29.9243626139,12.9724826365,39.6842754986,1.73204357753,17.11642061,6.81227295555,24.0674917671,,,,,,,,,,,,,,,,,,,,,,,,
C4,1,,172125.861188,79372.0305839,57027.5869808,39594.7973233,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440678379648,8.76858544529,2.80761955424,14.763134673,1.75019466319,22.1999611582,9.36582692916,30.7997829197,0.869842191812,11.5835145608,4.73257463843,16.5203499512,,,,,,,,,,,,,,,,,,,,,,,,
RM2,1,,103275.516713,47623.2183503,34216.5521885,23756.878394,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.251275524107,4.53363238089,1.40192398878,7.8515927237,0.986123716972,11.0507728176,4.61313502221,15.4430788775,0.490616895351,5.79529270661,2.33432207419,8.3611072077,,,,,,,,,,,,,,,,,,,,,,,,
S1,1,,582134.222675,294452.697233,127616.855304,108826.661711,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0308167805,18.611220219,4.92553795731,32.9652630951,3.33829527444,25.3018423186,11.2997636936,33.9311362881,1.6920558719,14.6934924649,5.97601941636,21.0905211398,,,,,,,,,,,,,,,,,,,,,,,,
S2,1,,344251.722376,158744.061168,114055.173962,79189.5946466,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.619998268265,8.25607317057,2.48577616945,13.2361323276,2.37371173198,19.5627174976,8.10315586866,26.0102117433,1.18359259105,10.2990349062,4.10435234721,14.084380306,,,,,,,,,,,,,,,,,,,,,,,,
S4,1,,582134.222675,294452.697233,127616.855304,108826.661711,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784567787889,14.5513056121,3.61370341699,25.8761279426,2.64201553151,22.1244440271,9.08086126395,30.0352316555,1.3337296659,12.5501253434,4.74287983267,18.0970835014,,,,,,,,,,,,,,,,,,,,,,,,
W1,0,1.19988761545e+11,1462102.26717,306019.330202,894868.846554,661648.997403,584840.906867,505.189033803,1844.86572209,10718.517278,39366.1376869,15.1556710141,3710.07438578,8894.12827801,24785.1384099,60909.7234756,111.302231573,1639.99716897,4069.24498339,16504.8502866,45144.2433388,49.1999150692,5726.23644339,12249.003883,32639.2998843,71981.3219376,171.787093302,0.47524782014,3.42336253194,1.52473708512,5.24181523874,0.0678359847449,1.52100825511,0.397348974222,3.20504663681,0.802674999771,5.95753937915,2.60579169792,9.27115032403,,,,,,,,,,,,,,,,,,,,,,,,
W1,1,,414260.666353,123389.729733,306905.150396,160512.409572,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272775306724,1.90151122084,0.864112279859,2.85778965706,1.17523026147,7.91996774151,3.67551482031,11.6639611602,0.580082466082,3.92016899914,1.81610497014,5.78327523047,,,,,,,,,,,,,,,,,,,,,,,,
W2,0,1.0221257383e+11,1245493.61129,264189.502523,671967.178378,554098.264869,498197.444514,467.079441821,2449.03148341,10120.9611928,34979.6039689,14.0123832546,6019.32344304,13075.7608404,42410.5025131,86579.8543435,180.579703291,2552.16075197,8035.24730658,21773.9870104,52543.6302701,76.5648225591,8994.37403472,19914.4635517,56757.315371,104105.906587,269.831221042,0.850906018138,10.7037782387,4.59169725249,15.8777681707,0.0894759531661,5.12708095015,1.17340237568,10.7147791768,1.43170681804,18.6905249837,7.84331208799,28.2540770373,,,,,,,,,,,,,,,,,,,,,,,,
W2,1,,371133.677771,147727.131526,181688.282527,107948.950541,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275768799257,3.85476113698,1.55469401308,6.01785077774,1.15477345204,13.4276825482,6.04186133888,19.0647492437,0.571325065994,6.75553183223,3.008574358,9.68586352565,,,,,,,,,,,,,,,,,,,,,,,,
