bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,day_pop_V,day_pop_VI,day_pop_VII,day_pop_VIII,day_pop_IX,day_pop_X,night_pop_V,night_pop_VI,night_pop_VII,night_pop_VIII,night_pop_IX,night_pop_X,transit_pop_V,transit_pop_VI,transit_pop_VII,transit_pop_VIII,transit_pop_IX,transit_pop_X,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode,Complete_prob_High_residential,Complete_prob_Low_residential,Complete_prob_Moderate_residential,Complete_prob_Precode_residential,Extensive_prob_High_residential,Extensive_prob_Low_residential,Extensive_prob_Moderate_residential,Extensive_prob_Precode_residential,Moderate_prob_High_residential,Moderate_prob_Low_residential,Moderate_prob_Moderate_residential,Moderate_prob_Precode_residential,Slight_prob_High_residential,Slight_prob_Low_residential,Slight_prob_Moderate_residential,Slight_prob_Precode_residential,Collapse_prob_High_residential,Collapse_prob_Low_residential,Collapse_prob_Moderate_residential,Collapse_prob_Precode_residential,Fatality_rate_High_residential,Fatality_rate_Low_residential,Fatality_rate_Moderate_residential,Fatality_rate_Precode_residential,Proba,Mag,Code
7.80553938124e+11,19022609.5825,6588285.42299,9360494.85937,6357306.75591,3804521.91649,2010437.59525,3010680.7505,3702799.642,3799806.12584,121674.951403,3457658.41237,3709952.17883,3795755.70647,3803869.96928,191294.78524,2992858.83629,3521803.8861,3775568.81557,3802422.56522,170924.413085,3609925.72126,3757573.21645,3800406.43558,3804178.32878,196758.809432,27450.4398336,41260.3181975,37575.9930795,41955.8706567,31259.1981245,49252.8018911,44180.0217035,50351.6368723,20354.3174234,32240.1238908,28860.6886391,33001.5758702,0.0,0.0,0.0,0.0,0.0,98824281.3448,0.0,0.0,0.0,0.0,0.0,140407422.891,0.0,0.0,0.0,0.0,0.0,95359601.3386,0.56885994497,0.930705447272,0.819413481641,0.96198447125,0.83935015555,0.982241061562,0.944286043793,0.991291288155,0.981092875384,0.998370446769,0.994612059883,0.999244833887,0.999112610871,0.999875676735,0.999605306241,0.999936180631,0.0378523050638,0.0587402793969,0.0528219559858,0.0600800742063,0.00365454578521,0.00563008281306,0.00508558554476,0.00574328529179,0.528433700576,0.908828622429,0.786658324485,0.948851340719,0.791342727572,0.975142806444,0.925688946838,0.987659763547,0.973262797081,0.997695844519,0.992389818864,0.998918265948,0.998760477464,0.999828638859,0.999448195773,0.999909689648,0.0319816665731,0.0502808997921,0.0449266469839,0.0517170918581,0.00293977084301,0.00457443859538,0.00411713338855,0.00468554011062,0.00146445825603,9.1,ANNKI_ANN13
7.50252902804e+11,18284153.5493,6254523.6442,8986249.04533,6170160.53311,3656830.70986,1577594.2176,2601009.39747,3478023.0798,3645154.45686,96316.5722248,3143339.60614,3492861.03089,3637302.70526,3654937.82823,174302.167598,2583861.54617,3229342.29906,3598592.28173,3651274.20342,148509.89919,3346746.24284,3569202.64457,3646989.97204,3655783.70662,181923.25256,21877.1004771,37813.0292873,32875.1684253,38885.9871198,25151.5480266,45721.879545,39081.2822619,47346.9774471,16379.4062627,29944.0690866,25538.9063745,31058.8028468,0.0,0.0,0.0,0.0,7914684.82574,79648646.1931,0.0,0.0,0.0,0.0,13257796.1995,112549690.435,0.0,0.0,0.0,0.0,10353933.4965,76028313.9671,0.471792318979,0.890739457822,0.74601834053,0.935693444044,0.772035375937,0.967520632536,0.910310262861,0.982931489162,0.965072667649,0.996205484948,0.988640907589,0.998122887492,0.997702254261,0.999622513951,0.998908374801,0.999797959748,0.0314936146935,0.0562908490003,0.0482605073602,0.0583248010942,0.00304382956194,0.00540253282467,0.0046540817014,0.00557897012734,0.431410240936,0.859580291117,0.706584950516,0.915204040979,0.711274216349,0.95516071375,0.88309865982,0.976037155604,0.951103115171,0.994659855446,0.984074070487,0.997308943566,0.99680700204,0.999482370999,0.998480513079,0.999713685615,0.0263388108083,0.0476648172768,0.040611641876,0.0497488855773,0.00242561835128,0.00434761774448,0.00373356819982,0.00451343706904,0.00146445825603,9.0,ANNKI_ANN12
7.72184494395e+11,18818640.7692,6515149.73551,9259780.00741,6291047.23338,3763728.15383,1933740.09634,2934963.19226,3652303.537,3758263.9769,117517.237709,3394820.93313,3660346.55238,3753740.42623,3762953.86334,188214.826226,2917258.0371,3461995.30066,3731288.85818,3761269.52608,167134.659677,3554108.12205,3711765.84813,3758984.9776,3763316.99957,193962.099388,26568.3367568,40665.4976877,36818.117148,41408.0702327,30186.708335,48522.541956,43236.196291,49691.0520643,19652.9358799,31755.3599821,28237.5416884,32563.9316723,0.0,0.0,0.0,0.0,0.0,97727246.0327,0.0,0.0,0.0,0.0,0.0,138896700.111,0.0,0.0,0.0,0.0,0.0,94365708.5007,0.554339384441,0.925198557529,0.80893684747,0.958448470736,0.829778256942,0.980315002255,0.939646701541,0.990230337714,0.979018090459,0.998118799284,0.993883727156,0.999118676713,0.998958985893,0.999850402782,0.999531829459,0.999922682376,0.0369758528178,0.0584798478822,0.0522566390478,0.0599152172304,0.00357148426839,0.00560734418817,0.0050335488545,0.00572913741582,0.513783147268,0.901983563736,0.775097966129,0.944305214612,0.779802119682,0.972532128456,0.919831390356,0.986193926984,0.970395147503,0.997346320671,0.991381073679,0.99873976652,0.998548200958,0.999794275659,0.999346757351,0.999890758779,0.0312236253274,0.0500075506342,0.0444066767965,0.0515345666478,0.00287201540436,0.00455239554265,0.00407258932399,0.00467103470475,0.00146445825603,9.0,ANNKI_ANN11
7.52005736678e+11,18326871.2563,6263126.77252,9006406.2453,6189170.95358,3665374.25126,1449125.26803,2482428.68056,3443042.40928,3648860.32546,89321.3521639,3066325.22062,3462302.45572,3638775.71597,3662528.13775,171212.296761,2465707.52189,3162445.86424,3589126.53784,3657307.47271,142934.679346,3293435.58129,3553744.67755,3651607.01192,3663770.68047,179873.382609,20389.62857,37343.384884,31812.7641613,38608.5233623,23351.3074734,45085.3003869,37717.5948573,46975.2828293,15203.733388,29512.9131626,24637.2812173,30803.3330951,0.0,0.0,0.0,0.0,11995445.6186,75688329.1967,0.0,0.0,0.0,0.0,19528436.2128,106561251.221,0.0,0.0,0.0,0.0,14929759.8179,71718633.5322,0.435124139571,0.871627469166,0.71436723313,0.922380071051,0.742689799583,0.959593501852,0.893734074613,0.978185687002,0.956450604007,0.994820088752,0.985092574971,0.997372801719,0.996746177187,0.999430853662,0.998412332145,0.999690346463,0.0291993904325,0.0553418914014,0.0464660085539,0.0576878793037,0.00282494682223,0.00531783149714,0.00448658173792,0.0055232793971,0.395355335825,0.836565384713,0.672702800004,0.898526413819,0.677264723978,0.944597254845,0.862789349041,0.969544836062,0.939342662784,0.99274329619,0.979197836783,0.996243974448,0.99549461401,0.999223513531,0.997799193753,0.999562508305,0.0243689582675,0.0467107272068,0.0389959304418,0.0490736744132,0.00224779811744,0.0042689456086,0.00359249818665,0.00445893554502,0.00146445825603,8.8,ANNKI_ANN10
7.45016131561e+11,18156530.0117,6348816.39539,8942752.11392,6021614.62897,3631306.00235,1425466.49578,2435365.93315,3395765.93109,3612644.16864,90237.5044138,3016829.413,3417134.04179,3601835.56454,3627998.49404,173570.008159,2419995.62099,3112807.94698,3548421.68874,3622085.54713,144521.747889,3244795.03167,3511818.72752,3615853.55626,3629427.44361,182461.453187,20791.9282592,38396.7449033,32568.2937651,39743.2093141,22993.5597718,44700.2452174,37223.7248731,46658.0604913,14968.7289759,29185.8473859,24270.9813433,30502.2419956,0.0,0.0,0.0,0.0,14122232.0824,74761197.453,0.0,0.0,0.0,0.0,23334256.6662,101864272.929,0.0,0.0,0.0,0.0,18040351.106,66262253.6996,0.431990360721,0.867328827711,0.708792982221,0.918803797184,0.737594194797,0.957169839765,0.889737977411,0.976558603898,0.953544686524,0.994233250178,0.983705808673,0.997038871325,0.996292015572,0.999333324984,0.998171663449,0.999634739746,0.0295028440409,0.0562124769956,0.0470300518905,0.058652562057,0.0028614399169,0.00541805999967,0.00455349696499,0.00563361397524,0.39254926323,0.830783583387,0.666425693519,0.893561443065,0.670658416442,0.941020679497,0.857214441571,0.967095233849,0.93513626472,0.991884341946,0.977175067716,0.995744658789,0.994860847944,0.999089168385,0.997460843231,0.99948267683,0.024849876148,0.0477982323844,0.0397988348533,0.0502467853355,0.00230073630951,0.00438729820466,0.00368099431508,0.00458574392155,0.00146445825603,9.0,ANNKI_ANN31
7.42484367071e+11,18094829.2566,6324482.54054,8911977.71794,6003261.04536,3618965.85131,1291204.3024,2293713.68822,3329735.53258,3593011.97883,82499.1591547,2910241.98497,3357109.80143,3579424.95346,3614093.75741,168909.391566,2279271.60665,3015714.77279,3511918.26309,3605827.54454,137420.756583,3160821.14798,3468766.41034,3597703.88129,3616153.04508,178908.25397,19095.3823191,37591.482234,31136.6151942,39166.6357862,21039.7944668,43639.5435225,35467.6623075,45885.7580799,13697.838071,28485.0044918,23121.9661205,29988.9114696,0.0,0.0,0.0,0.0,22019449.5426,66523306.025,0.0,0.0,0.0,0.0,34389447.5396,90378240.5116,0.0,0.0,0.0,0.0,25437984.2241,58607670.411,0.395136241021,0.844908533919,0.674053888707,0.90256003839,0.705137447939,0.947105888149,0.869989088898,0.970293279912,0.942481743546,0.992217014901,0.978805810731,0.99591237947,0.994813876895,0.999012772458,0.997381059296,0.999451830088,0.0271185220821,0.0550687599946,0.0449865917646,0.0578700717858,0.00263266402849,0.00531480108483,0.00436105817561,0.00556464376409,0.35678819736,0.80416398069,0.629812963233,0.873404524344,0.633803628567,0.927643404045,0.833308435805,0.958496585173,0.920079290433,0.989073978734,0.970420392837,0.994124849225,0.992828373201,0.998653733109,0.996369596369,0.999222759664,0.0227963353467,0.0466733864053,0.0379723827826,0.0494362923886,0.00211384215464,0.00429357591878,0.00351964709362,0.00452005223324,0.00146445825603,8.8,ANNKI_ANN30
7.43761204123e+11,18125946.61,6195370.26267,8907792.13502,6120621.93051,3625189.32199,1372929.08548,2393800.78351,3381065.59365,3605702.25203,85048.8554499,2988802.74287,3402640.51856,3594458.42104,3621703.05344,167614.735813,2377624.37857,3088521.84638,3539068.61735,3615518.61576,138506.73762,3224374.20123,3500961.64625,3609034.75541,3623202.17037,176688.463531,19462.3965394,36671.8596668,30916.2859491,38023.1479361,22230.7629195,44193.2939101,36571.0577405,46196.237644,14473.0267455,28920.4250153,23882.8848326,30284.231802,0.0,0.0,0.0,0.0,11890094.3897,62454348.7623,0.0,0.0,0.0,0.0,19078958.0842,87814547.5361,0.0,0.0,0.0,0.0,14423453.9224,59024009.2437,0.418025692474,0.861436080105,0.698450407962,0.915037353188,0.72783393433,0.955056560549,0.884783370984,0.975375671327,0.951511788,0.993931158138,0.982927544904,0.996876695364,0.996108363474,0.999292420458,0.998069884426,0.999610947024,0.0281307027569,0.0548555884721,0.0455730091946,0.057362177969,0.00272296855816,0.00527467965849,0.00440323884443,0.00549526117964,0.378719278783,0.824454249808,0.655862126744,0.889436085909,0.660324350233,0.938610432819,0.8519615314,0.965732086051,0.932659040215,0.991522952811,0.976243804946,0.995543800572,0.994624537306,0.99903832097,0.997332358293,0.999451848871,0.0234605279603,0.0462361330473,0.0382067597904,0.0487390996268,0.00216577946641,0.00423021390553,0.00352363808073,0.00443255782393,0.00146445825603,8.7,ANNKI_ANN20
7.43266504418e+11,18113890.4549,6201646.83582,8903316.43426,6108600.96548,3622778.09097,1504447.76069,2522691.77485,3427324.43618,3609166.23779,92370.0837761,3077963.08367,3443912.79478,3600452.24166,3620496.7112,171451.62301,2505922.85701,3167427.33594,3557508.65502,3616209.25494,144789.023423,3289540.98282,3525883.04017,3611370.32635,3621502.90342,179449.807764,21038.2531606,37308.9447491,32148.8065956,38455.7144499,24102.5652999,44993.3926445,38099.7878093,46716.5939377,15694.4265897,29457.1366935,24890.6513076,30635.5925609,0.0,0.0,0.0,0.0,8130242.75375,66289519.276,0.0,0.0,0.0,0.0,13290689.2892,93549107.9219,0.0,0.0,0.0,0.0,10192960.0914,63110251.4944,0.455444835624,0.882532405765,0.732212185298,0.929999291312,0.759271097262,0.964141778534,0.903201356474,0.980909056903,0.961383023815,0.995612527681,0.987125382031,0.997800911962,0.997291208787,0.999539383394,0.998694483805,0.999751098616,0.0305018494249,0.0559445265453,0.047529151263,0.0581153485254,0.00294969326246,0.00537293158588,0.00458670057143,0.0055621208639,0.41527461051,0.84961402724,0.691713042887,0.908016141266,0.696341788401,0.950627586978,0.874308957491,0.973253937072,0.946048681458,0.993837367691,0.981983595376,0.996851100362,0.996242703021,0.999370267867,0.998186795915,0.999648008374,0.0254970305817,0.047326007474,0.0399662965237,0.0495337564868,0.00235023562705,0.00432134451819,0.0036783612528,0.0044978822035,0.00146445825603,8.9,ANNKI_ANN21
1.16944588156e+12,28500160.3941,10089552.4047,14054630.9218,9357370.74924,5700032.07883,1189184.17022,2528407.86077,4578102.34129,5506853.55894,78675.312056,3657358.94072,4705079.88302,5455147.1822,5649249.40271,226096.611045,2517210.97153,3880699.12827,5161394.71379,5587747.36916,159819.052168,4197620.06867,5042592.38748,5549279.9534,5667847.47236,251415.789837,18523.3575726,52162.9677697,37156.2923941,57042.2353204,20186.7902114,58608.0864044,41375.4834971,64646.5151846,13161.342534,38269.3787445,26995.8104603,42235.5676599,0.0,0.0,0.0,10536785.0177,76136197.7667,44491198.4762,0.0,0.0,0.0,16738864.4015,104483243.722,61488093.8596,0.0,0.0,0.0,12554289.209,68487163.9038,40604366.6274,0.237437422713,0.700534515041,0.487829500188,0.786855640079,0.526493250363,0.867349252088,0.737371592003,0.915169848871,0.854114338948,0.969007260813,0.93084993013,0.981710984347,0.97516589873,0.993405578476,0.985652712051,0.996066290717,0.0165730281291,0.047440538379,0.033550781937,0.0522958191014,0.0016146701451,0.00461357942816,0.00327163397952,0.00506640282452,0.208627627665,0.64163830837,0.441613474577,0.736420428977,0.443577830054,0.825447965546,0.680820576903,0.884660352388,0.80317132921,0.957037979219,0.905502748478,0.97355240754,0.966109222331,0.991090808716,0.980301038992,0.99435360959,0.0138026086464,0.0396658488791,0.0280382724092,0.0441077850721,0.0012875392157,0.00369840117149,0.00262672393042,0.0040846752663,0.00146445825603,8.3,ANNKI_ANN70
5.44375299892e+11,13266781.8204,4396157.62479,6500524.43682,4585619.35603,2653356.36409,516841.285685,1139192.67866,2126309.25374,2569932.36222,32481.2938061,1670882.87207,2178436.03173,2543807.41019,2632664.72577,95961.8255205,1132054.33695,1782540.72528,2406498.87719,2605759.6264,67321.9665162,1933639.26402,2344004.55177,2587214.11055,2640448.17069,107323.338019,7538.55264414,21557.8663314,15322.9634807,23600.8010103,8864.45545492,26782.8410666,18681.8521114,29622.8686584,5764.32004194,17506.0869384,12189.2735577,19415.7036323,0.0,0.0,0.0,4899544.92408,36193031.2922,20453630.5309,0.0,0.0,0.0,7716666.08575,54309137.8586,28981538.1712,0.0,0.0,0.0,5747496.30334,38820639.258,19630535.4231,0.222845976507,0.687562309242,0.472038674269,0.777884292329,0.510674962984,0.861506136262,0.7265757421,0.912240490704,0.85082005192,0.969491424262,0.930642288582,0.982252893272,0.976743570232,0.994142725606,0.986744180837,0.996538577044,0.0150474052586,0.0444269481156,0.0311496136498,0.0491802523845,0.00145974084491,0.00429631634861,0.0030234185932,0.00473372330928,0.194787738534,0.629724259691,0.426649941286,0.728752191069,0.429340247726,0.8210114786,0.671805999905,0.88341113297,0.801365878523,0.958713064186,0.90696406625,0.975072231369,0.968559066172,0.992201711536,0.982061686724,0.995135145216,0.0122415873894,0.0361662032357,0.0253723802153,0.040448143141,0.00113408891812,0.0033432983628,0.00236008945343,0.00370998023102,0.00146445825603,8.7,ANNKI_ANN60
