pref_id,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode,Complete_prob_High_residential,Complete_prob_Low_residential,Complete_prob_Moderate_residential,Complete_prob_Precode_residential,Extensive_prob_High_residential,Extensive_prob_Low_residential,Extensive_prob_Moderate_residential,Extensive_prob_Precode_residential,Moderate_prob_High_residential,Moderate_prob_Low_residential,Moderate_prob_Moderate_residential,Moderate_prob_Precode_residential,Slight_prob_High_residential,Slight_prob_Low_residential,Slight_prob_Moderate_residential,Slight_prob_Precode_residential,Collapse_prob_High_residential,Collapse_prob_Low_residential,Collapse_prob_Moderate_residential,Collapse_prob_Precode_residential,Fatality_rate_High_residential,Fatality_rate_Low_residential,Fatality_rate_Moderate_residential,Fatality_rate_Precode_residential
1,5.77810648758e+11,14081623.1231,5355423.64325,6995851.77705,4340251.61759,2816324.62462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.62022258581e+11,11259784.3841,4143289.02817,5574574.9561,3576747.09349,2251956.87681,26275.5247263,130079.731519,599131.158999,1323803.27794,2168.13850882,345562.295633,727414.710044,1307548.81057,1710926.55323,28033.2955779,132551.276829,403568.438017,954991.453141,1504605.95665,10712.790517,499812.628251,933599.729512,1477850.08845,1813213.6789,38664.5199423,556.023223443,7194.86619779,2715.7153937,9854.59604988,538.127641591,7053.87157743,2681.99646445,9688.39680595,355.102063298,4642.06329644,1761.08478697,6374.00262384,0.0152177985582,0.195796381384,0.0740231357363,0.275170726716,0.0945835773988,0.392763866611,0.226428812051,0.488246204085,0.364645880539,0.642457644175,0.507382359018,0.719445908579,0.655105592977,0.793519638462,0.720857818234,0.842201685387,0.00117770815873,0.0153024981854,0.00578421005537,0.021044287659,0.000117204429892,0.00152291038798,0.000575972403765,0.00208807010072,0.0116678631802,0.153449783693,0.0588604862703,0.221945914417,0.057762976218,0.323014493543,0.179207889002,0.414572649737,0.26604912606,0.580627819313,0.424071820813,0.656251504489,0.587845749435,0.759751028472,0.668132668143,0.805172469141,0.000962779763303,0.0124484158052,0.00475710286787,0.0171692985512,9.28089511895e-05,0.00121123957254,0.000462807433506,0.00166014544209
6,57771855155.1,1407937.8654,468366.675641,690122.730517,485254.240626,281587.57308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.74051152369e+11,4241740.32977,1223713.39829,2053042.70057,1605191.98477,848348.065954,0.00996920393193,0.329036834563,16.8424363691,260.075754442,0.000732617634893,4.07380844265,35.2334679009,271.584213552,839.303847839,0.349148890796,0.355473856876,6.58566372698,79.2990876699,444.967442584,0.0272667509304,11.1769741754,81.1458771386,449.35563304,1107.69203358,0.899412242864,0.000240985073699,0.103513223526,0.00784531108215,0.268758113941,0.000424948330581,0.173627304012,0.0134806836273,0.447240545114,0.000254967359427,0.104740435639,0.00820015755129,0.27114766483,2.25602983847e-08,9.24812799352e-06,7.31338445047e-07,2.4575239048e-05,1.81630073174e-06,7.70126114769e-05,1.43222252395e-05,0.000163639629484,8.24432966701e-05,0.000465626946725,0.000203252561258,0.000771444365356,0.000539318962545,0.00118042179902,0.000756620712397,0.00160157454773,1.55469242735e-09,7.08098813734e-07,5.40409181662e-08,1.84245822653e-06,1.7125829239e-10,7.18166105836e-08,5.54199036119e-09,1.8624781406e-07,1.17513133253e-08,4.8020483645e-06,4.19018880507e-07,1.3174986334e-05,3.87855937636e-07,4.15318538638e-05,7.76292655252e-06,9.56516321485e-05,1.98532147889e-05,0.000320133002539,9.34747079086e-05,0.000529683099512,0.000306567274541,0.000989339024302,0.000524510469749,0.00130570467245,8.63581428773e-10,4.11563254291e-07,3.21409949814e-08,1.06019248344e-06,8.55549237113e-11,4.12495895445e-08,3.23760081318e-09,1.05790337664e-07
9,1.74911606731e+11,4262710.16488,1498917.6526,2100706.62844,1407327.96167,852542.032977,0.000997726356065,0.0407817435285,2.77447738868,49.417696688,4.33558639419e-05,0.446491770136,4.03332859685,47.0562123156,161.642879939,0.0206561176446,0.0414952718776,0.867702386117,13.7177698671,83.0638137629,0.00177140504387,1.35769360936,10.5790981393,77.923794509,209.718420318,0.0588170502607,1.74530755279e-05,0.00799269335752,0.000605854510153,0.0214972279759,6.57598461344e-05,0.0297405163983,0.00219783190149,0.0793079634855,3.63898891997e-05,0.0166232370889,0.00125377306814,0.0446341448102,2.75953510151e-09,1.29524568185e-06,1.00358845226e-07,3.57570776949e-06,2.71744442513e-07,1.10835208242e-05,2.13496902947e-06,2.45218287477e-05,1.37760895333e-05,8.00924357904e-05,3.46946819821e-05,0.000132894151595,9.78693151379e-05,0.000219934968655,0.000136713374772,0.000293933175933,1.64611129596e-10,8.45815214247e-08,6.3125734261e-09,2.28457053191e-07,1.87250058059e-11,8.56863964574e-09,6.48524675125e-10,2.30343819354e-08,1.17029579478e-09,5.23718189679e-07,4.8672405902e-08,1.59252395406e-06,4.78354637673e-08,4.73094397794e-06,1.01778252867e-06,1.24088874566e-05,3.25435847309e-06,5.51951815811e-05,1.60904323031e-05,9.1401703957e-05,5.7965114653e-05,0.000189601067967,9.74307547897e-05,0.000245991883339,5.08548109827e-11,2.42288554061e-08,2.07779203295e-09,6.89902057443e-08,4.82044779949e-12,2.38141545291e-09,2.06765585592e-10,6.72198722715e-09
10,1.70370781498e+11,4152047.28643,1460959.83225,2046303.9657,1370062.47198,830409.457287,63756.0381256,199904.042341,514459.42161,733311.861418,4708.3207198,361414.826308,545696.459312,720674.437876,789934.312986,24685.7875658,200033.868029,397559.226307,640564.379995,762148.741748,14098.510507,450160.631942,617174.042869,751018.289628,800160.408148,29325.9955061,1159.61944445,5978.63019151,3425.68129468,6971.31462984,1196.36043104,6392.03790608,3621.32696441,7555.08742868,782.952895383,4171.93175223,2364.29640612,4928.19606849,0.0935701143537,0.503586099848,0.281665643374,0.608351060981,0.321752009192,0.720809656604,0.547493156376,0.795495965279,0.7000187007,0.894653083618,0.81943357883,0.925971186577,0.907061804272,0.959295625087,0.933785296218,0.970872333097,0.00689398336266,0.0361166753812,0.0205410256441,0.0425409549779,0.000678558350851,0.00354884918513,0.00202356034444,0.00416184329294,0.0767766281636,0.435224843765,0.240885825991,0.54209477986,0.240729486624,0.657141431283,0.478750841308,0.743216539086,0.619525003113,0.867854323614,0.771383772637,0.904395154749,0.883072627586,0.951258811006,0.917798725749,0.963573332562,0.00566987849004,0.0297272476236,0.0169777817235,0.0353151029877,0.00053779923944,0.00282291820452,0.0016197813605,0.00332545781404
14,2.4895882114e+11,6067289.17164,2009258.47945,2972708.90836,2098081.69657,1213457.83433,9826.1423819,48029.095798,226270.121141,531808.17269,759.787523259,125503.087496,269494.031138,521987.014828,725785.605723,9313.36596622,48641.0921017,148485.872122,369110.985468,616045.238319,3626.55658727,183588.499518,353886.658415,603044.103036,784012.239226,12913.796986,192.798548313,2360.83717356,907.741227244,3236.03607698,204.58960007,2634.09476004,999.145969249,3653.78147925,133.542253681,1712.06614333,650.234456441,2377.3842139,0.0105680234057,0.132344094719,0.0503726009623,0.187992390286,0.0642631806587,0.271943988581,0.154365757659,0.34577078938,0.25721162078,0.479679317327,0.366900355216,0.552153750335,0.496823062334,0.630560252585,0.555627900883,0.685802963662,0.000787874191283,0.00983966957811,0.00376005644942,0.0136175390778,7.80729765093e-05,0.000975631358346,0.000373051612561,0.00134530954556,0.00809763809167,0.103425997958,0.0400846990523,0.151293678548,0.039580358245,0.222087676649,0.122365909981,0.291634903499,0.186467230042,0.430164938625,0.304181138418,0.496963376869,0.438258469017,0.598113576913,0.507677498872,0.64609763689,0.000626134260099,0.00767506352734,0.00298861360047,0.0106421472758,5.99161538184e-05,0.000741895174089,0.000288942768748,0.0010213483585
15,97387001533.4,2373384.87207,775359.86884,1161376.13241,828838.865227,474676.974414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6.89877262211e+11,16812759.7311,6382903.24578,8351138.09618,5190614.26098,3362551.94623,32321.4904966,178322.179056,924820.908768,2155605.77683,2719.45490643,515242.671081,1149426.57119,2127394.61283,2767018.23991,42890.2071343,182552.691837,608671.131836,1529948.49837,2453057.13068,15086.4497092,766380.292491,1498971.53611,2405245.16831,2912359.73507,60744.3102989,703.064894888,11090.2428317,3848.93095796,15614.9842366,675.888364538,10778.3666249,3779.10435222,15182.7183913,446.647789165,7104.60088136,2483.98564006,10008.6469925,0.0127398967054,0.198931404035,0.0693091491795,0.287205177157,0.0909057095148,0.421363512108,0.232666512371,0.530241626789,0.38805850715,0.701700561601,0.550339753309,0.782670882277,0.713577826066,0.856631152854,0.78461823042,0.900089192575,0.000992868710629,0.0157246990073,0.00546994490953,0.0222111523189,9.90402928207e-05,0.00156753057605,0.000545617443321,0.00220759352038,0.00961219068537,0.153229653942,0.0542899246632,0.22791626858,0.0530317990347,0.341831617644,0.181014640538,0.44578390463,0.275035426532,0.632672638772,0.454996241793,0.715303497693,0.641062446411,0.822892340152,0.729522448995,0.866115908882,0.000808747329385,0.0127552548838,0.00448660718124,0.018064943314,7.8195702133e-05,0.00124531392677,0.000437887144043,0.00175282497242
23,46909701388.5,1143220.07943,422036.902175,566183.660872,362109.041365,228644.015887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
