pref_id,bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,day_pop_V,day_pop_VI,day_pop_VII,day_pop_VIII,day_pop_IX,day_pop_X,night_pop_V,night_pop_VI,night_pop_VII,night_pop_VIII,night_pop_IX,night_pop_X,transit_pop_V,transit_pop_VI,transit_pop_VII,transit_pop_VIII,transit_pop_IX,transit_pop_X,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode,Complete_prob_High_residential,Complete_prob_Low_residential,Complete_prob_Moderate_residential,Complete_prob_Precode_residential,Extensive_prob_High_residential,Extensive_prob_Low_residential,Extensive_prob_Moderate_residential,Extensive_prob_Precode_residential,Moderate_prob_High_residential,Moderate_prob_Low_residential,Moderate_prob_Moderate_residential,Moderate_prob_Precode_residential,Slight_prob_High_residential,Slight_prob_Low_residential,Slight_prob_Moderate_residential,Slight_prob_Precode_residential,Collapse_prob_High_residential,Collapse_prob_Low_residential,Collapse_prob_Moderate_residential,Collapse_prob_Precode_residential,Fatality_rate_High_residential,Fatality_rate_Low_residential,Fatality_rate_Moderate_residential,Fatality_rate_Precode_residential
4,4.28188999238e+11,10435245.743,3903814.08603,5175267.24276,3265943.08263,2087049.14861,0.0135894307407,0.483759295853,24.5352413524,370.66678092,0.00123468335511,6.65723028505,58.5425073002,403.338264201,1201.81473536,0.647058896495,0.537251757506,10.2880422694,116.166150519,642.712171369,0.0485558816513,18.0249530708,131.289994602,669.919801024,1601.39120841,1.65496554081,0.00040118632338,0.185646152039,0.0136927679409,0.482318255864,0.000507740113515,0.248645711393,0.01841176361,0.641576100495,0.00031916850885,0.154753292017,0.0115251741336,0.401033533532,17809669.7882,2117243.41605,866756.79447,165370.523227,1876.43231808,0,23588620.8284,3235032.17072,1314617.71348,275701.001903,3967.55818163,0,14870509.8431,2349268.14085,948597.5629,214569.402142,3567.41721208,0,1.19806808413e-08,5.78224388028e-06,4.322573276e-07,1.53852212005e-05,1.07759432007e-06,4.9077261626e-05,8.81773494623e-06,0.000103575768722,4.993718559e-05,0.000282378898619,0.000122873372729,0.000469280693592,0.000320282708407,0.000696636641534,0.00045113256692,0.000953190229437,9.02880248179e-10,4.67966783327e-07,3.42685622536e-08,1.21844158866e-06,1.00507034832e-10,4.75165986236e-08,3.52237402817e-09,1.23341472666e-07,6.51131323372e-09,3.1897812706e-06,2.57421708475e-07,8.6365733566e-06,2.31791041517e-07,2.80503731018e-05,4.92946813269e-06,6.29069970342e-05,1.17559480421e-05,0.000193257674104,5.56604767055e-05,0.000320988991309,0.000177603283165,0.0005758440026,0.000307952580704,0.000767299231779,5.91592850573e-10,3.10035294055e-07,2.32653273564e-08,7.92969126728e-07,5.97421458439e-11,3.11821978111e-08,2.35547493947e-09,7.94508327431e-08
8,1.74051152369e+11,4241740.32977,1223713.39829,2053042.70057,1605191.98477,848348.065954,166.552774164,1217.03233425,12437.0552699,64242.0437214,7.38446932319,4707.01701492,16969.5038839,63234.0666885,131764.440163,279.806996895,1221.92231323,6380.29114649,30626.2633519,88832.3742804,62.0099392638,8738.62893653,28619.6564737,86578.3878724,157425.808981,511.828495722,1.72449665807,72.5065835769,14.8989042433,132.164878115,4.22465681289,133.848115674,30.8152059515,235.114740134,2.59014814128,82.9120837362,19.2356601938,146.702033224,17809669.7882,2117243.41605,866756.79447,165370.523227,1876.43231808,0,23588620.8284,3235032.17072,1314617.71348,275701.001903,3967.55818163,0,14870509.8431,2349268.14085,948597.5629,214569.402142,3567.41721208,0,0.000276042855705,0.00818835974733,0.00196168377066,0.014821123477,0.00293609189337,0.0291278179999,0.0107417897249,0.0468465924911,0.0289220016191,0.0934907462774,0.0542037680413,0.128632597706,0.102795667535,0.173827344239,0.129445536394,0.211636238551,1.56135324579e-05,0.000544186796505,0.000120967786067,0.000977872512304,1.50815462306e-06,5.39035955797e-05,1.18910712019e-05,9.66785681052e-05,0.000196325990296,0.00554845022205,0.00144035492302,0.0103007589541,0.00143459080428,0.0200029970774,0.00752084127087,0.0337357478873,0.0146603213575,0.0745378804128,0.0361010587293,0.102055266402,0.0757260448859,0.155318843116,0.104712178698,0.185567475543,8.70452779884e-06,0.000329825702591,7.30949261893e-05,0.000603323701983,7.68084236955e-07,3.1706464682e-05,6.89444428765e-06,5.78273965106e-05
10,1.68579795149e+11,4108399.77865,1451147.60871,2025565.59862,1351419.58005,821679.955731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17809669.7882,2117243.41605,866756.79447,165370.523227,1876.43231808,0,23588620.8284,3235032.17072,1314617.71348,275701.001903,3967.55818163,0,14870509.8431,2349268.14085,948597.5629,214569.402142,3567.41721208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.4895882114e+11,6067289.17164,2009258.47945,2972708.90836,2098081.69657,1213457.83433,809.445414225,6540.21646679,57532.16335,220547.088991,54.4813432957,25270.3801118,78787.0575971,219975.803308,384488.605151,1869.7295358,6681.56189976,32462.5907034,122954.714452,285608.351191,461.819096612,43815.4427271,120217.177526,281756.056272,443286.118853,3113.04626377,14.0304436611,486.691114544,116.718602625,806.441686715,20.0198712599,631.326487302,159.460466095,1027.30568769,12.6742312767,404.377230146,101.999107965,662.11842753,17809669.7882,2117243.41605,866756.79447,165370.523227,1876.43231808,0,23588620.8284,3235032.17072,1314617.71348,275701.001903,3967.55818163,0,14870509.8431,2349268.14085,948597.5629,214569.402142,3567.41721208,0,0.000952307909629,0.0293145989409,0.00744882884987,0.0493282011976,0.0108930689855,0.0879425543185,0.0368775812669,0.12901993917,0.0827454121136,0.21855307228,0.140756981074,0.280208950531,0.231243530029,0.349085319384,0.279111165731,0.408128737623,6.49390266207e-05,0.00215214918378,0.000529884845153,0.00355713882504,6.43498204618e-06,0.000214262626066,5.26731318149e-05,0.00035312311489,0.000667056894212,0.0208250994776,0.0055062167887,0.0361079235615,0.00538973525224,0.0649277258494,0.0267521373921,0.0990699257318,0.047411753192,0.181280137706,0.101325905997,0.232192704436,0.181750929246,0.316853700453,0.235367347024,0.365308217816,4.48975990384e-05,0.00154082777572,0.000380581082875,0.00256543422911,4.24890747778e-06,0.000150232507031,3.69067004918e-05,0.000248788195146
19,4.66302753609e+11,11364102.8453,4339154.96546,5648170.94297,3489473.30612,2272820.56906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17809669.7882,2117243.41605,866756.79447,165370.523227,1876.43231808,0,23588620.8284,3235032.17072,1314617.71348,275701.001903,3967.55818163,0,14870509.8431,2349268.14085,948597.5629,214569.402142,3567.41721208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.29798818336e+11,3163282.02945,1060548.674,1551681.48561,1083938.65018,632656.405889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17809669.7882,2117243.41605,866756.79447,165370.523227,1876.43231808,0,23588620.8284,3235032.17072,1314617.71348,275701.001903,3967.55818163,0,14870509.8431,2349268.14085,948597.5629,214569.402142,3567.41721208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1007108274.56,24543.88682,6432.11165486,11789.069371,9784.0412642,4908.777364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17809669.7882,2117243.41605,866756.79447,165370.523227,1876.43231808,0,23588620.8284,3235032.17072,1314617.71348,275701.001903,3967.55818163,0,14870509.8431,2349268.14085,948597.5629,214569.402142,3567.41721208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.59397575829e+11,3884623.09303,1352519.42544,1912506.91441,1292786.80649,776924.618606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17809669.7882,2117243.41605,866756.79447,165370.523227,1876.43231808,0,23588620.8284,3235032.17072,1314617.71348,275701.001903,3967.55818163,0,14870509.8431,2349268.14085,948597.5629,214569.402142,3567.41721208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,5.87629276233e+11,14320909.4914,5429259.30227,7112338.11387,4427131.63737,2864181.89828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17809669.7882,2117243.41605,866756.79447,165370.523227,1876.43231808,0,23588620.8284,3235032.17072,1314617.71348,275701.001903,3967.55818163,0,14870509.8431,2349268.14085,948597.5629,214569.402142,3567.41721208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1.65959059698e+11,4044530.74299,1302385.43785,1976486.30488,1426906.89813,808906.148597,13.5366871019,237.021335116,5659.50878385,51283.1877158,0.983064307926,1784.66450724,10624.7955526,54554.0579851,137428.808635,148.244742125,249.369765732,2600.36665769,19639.9129001,81307.0416202,18.4932933848,4078.24619583,21063.1577483,84027.8794306,176914.654189,326.489517387,0.281973104707,41.2468194835,4.99199890147,91.2938799571,0.436958344267,58.8593673513,7.58704323594,125.969279077,0.269599543575,36.6985243176,4.73125796237,79.238247546,17809669.7882,2117243.41605,866756.79447,165370.523227,1876.43231808,0,23588620.8284,3235032.17072,1314617.71348,275701.001903,3967.55818163,0,14870509.8431,2349268.14085,948597.5629,214569.402142,3567.41721208,0,2.78602422803e-05,0.00365213104073,0.000475700601425,0.00812153100015,0.000914779848967,0.0209701282618,0.00518273042418,0.0394359794736,0.0205179929185,0.0928604387308,0.0452125389301,0.14376363655,0.102528594921,0.201632794174,0.138767708255,0.265996883189,1.93892817646e-06,0.000279325676972,3.48328270514e-05,0.000612477811608,1.99455249816e-07,2.81347552881e-05,3.51674536612e-06,6.15427288916e-05,1.67345582988e-05,0.00220626893532,0.000308280220349,0.00504168030235,0.00029301462911,0.0131347691831,0.0032146704067,0.0260390624855,0.00699649618644,0.0674417645109,0.0242795940347,0.103878403664,0.0633981924908,0.169894627298,0.100514802318,0.218708504683,1.21530082276e-06,0.00018326568834,2.28621001545e-05,0.000403618538385,1.17683143553e-07,1.82052801928e-05,2.26347732607e-06,3.99483964656e-05
