bldg_cost,type_pop,day_pop,night_pop,transit_pop,bldg_count,Complete_count_High,Extensive_count_High,Moderate_count_High,Slight_count_High,Collapse_count_High,Complete_count_Low,Extensive_count_Low,Moderate_count_Low,Slight_count_Low,Collapse_count_Low,Complete_count_Moderate,Extensive_count_Moderate,Moderate_count_Moderate,Slight_count_Moderate,Collapse_count_Moderate,Complete_count_Precode,Extensive_count_Precode,Moderate_count_Precode,Slight_count_Precode,Collapse_count_Precode,Fatalities_day_High,Fatalities_day_Low,Fatalities_day_Moderate,Fatalities_day_Precode,Fatalities_night_High,Fatalities_night_Low,Fatalities_night_Moderate,Fatalities_night_Precode,Fatalities_transit_High,Fatalities_transit_Low,Fatalities_transit_Moderate,Fatalities_transit_Precode,Complete_prob_High,Complete_prob_Low,Complete_prob_Moderate,Complete_prob_Precode,Extensive_prob_High,Extensive_prob_Low,Extensive_prob_Moderate,Extensive_prob_Precode,Moderate_prob_High,Moderate_prob_Low,Moderate_prob_Moderate,Moderate_prob_Precode,Slight_prob_High,Slight_prob_Low,Slight_prob_Moderate,Slight_prob_Precode,Collapse_prob_High,Collapse_prob_Low,Collapse_prob_Moderate,Collapse_prob_Precode,Fatality_rate_High,Fatality_rate_Low,Fatality_rate_Moderate,Fatality_rate_Precode,Complete_prob_High_residential,Complete_prob_Low_residential,Complete_prob_Moderate_residential,Complete_prob_Precode_residential,Extensive_prob_High_residential,Extensive_prob_Low_residential,Extensive_prob_Moderate_residential,Extensive_prob_Precode_residential,Moderate_prob_High_residential,Moderate_prob_Low_residential,Moderate_prob_Moderate_residential,Moderate_prob_Precode_residential,Slight_prob_High_residential,Slight_prob_Low_residential,Slight_prob_Moderate_residential,Slight_prob_Precode_residential,Collapse_prob_High_residential,Collapse_prob_Low_residential,Collapse_prob_Moderate_residential,Collapse_prob_Precode_residential,Fatality_rate_High_residential,Fatality_rate_Low_residential,Fatality_rate_Moderate_residential,Fatality_rate_Precode_residential,Proba,Mag,Code
3.37424216305e+12,82232486.6604,30479980.5934,40743011.344,25952957.1663,16446497.3321,413.450025065,2664.96677935,23288.2289507,122136.633077,28.9250770939,10262.6982505,37818.4271697,131798.817301,281088.251739,817.485597275,2726.35956635,13167.1129331,58114.15212,180935.068958,195.258596712,18475.0906862,63733.6311334,190300.845095,354939.85966,1457.57345003,7.33697637397,213.994944834,49.241882576,385.087268393,9.32183566856,252.911417046,62.0720399227,438.551002778,5.97865701813,163.607530805,39.9997296189,285.88049282,3.40703795869e-05,0.000880333497731,0.000219399928716,0.00157157937649,0.000318062457796,0.00323979987168,0.00112269457962,0.00533967207544,0.00300890982825,0.0105678078653,0.00576172121246,0.0154385209313,0.0112387752703,0.0202013978876,0.0146989987184,0.0261161420231,2.38617989005e-06,6.69354744741e-05,1.59106679657e-05,0.000118982392548,2.36102591328e-07,6.68436690832e-06,1.58249681697e-06,1.18716410465e-05,2.51390929459e-05,0.000624005102321,0.000165771441256,0.00112334500855,0.000162038562105,0.00229948215758,0.000800602868031,0.0038752100126,0.00141599931465,0.00801379252006,0.00353352759232,0.0115709042024,0.00742630060434,0.0170910708866,0.011001434853,0.0215814864706,1.75873783395e-06,4.9705756841e-05,1.18723514661e-05,8.86251595462e-05,1.66754239204e-07,4.87175665376e-06,1.15184708405e-06,8.67321563861e-06,1.20226431678e-183,6.48,F016021
3.37424216305e+12,82232486.6604,30479980.5934,40743011.344,25952957.1663,16446497.3321,620.410050162,4024.89722492,34731.0109782,183803.925832,44.2719877534,15511.6997104,56996.7119771,199462.484773,431483.938695,1261.55474218,4125.51692943,19804.0172134,86843.2811194,274739.283391,302.808391501,27804.8448639,96124.2146294,290105.679921,548065.89474,2238.04331619,11.2674601789,330.579817713,76.5776665722,592.357195695,13.9209500684,377.845301552,93.1879135835,654.506282949,8.95765996712,245.361882602,60.2491214686,427.973820801,5.11329784313e-05,0.00132635372309,0.000331554695383,0.00236158654936,0.000479734303908,0.00488172216974,0.00168674886643,0.00807251133277,0.00452417155934,0.0160878641912,0.00869579371092,0.0236923147731,0.0171225966193,0.0311377859795,0.0225016990069,0.0405114960805,3.61768845489e-06,0.000101951878757,2.43521961673e-05,0.000180677428778,3.5839042862e-07,1.01874302272e-05,2.4241678006e-06,1.80395821925e-05,3.77229289395e-05,0.000943161294299,0.0002508447146,0.00169062410691,0.000244726712542,0.00346558363317,0.00120414802092,0.00584466179567,0.00211175731081,0.0121279613979,0.00528035115112,0.0176393595587,0.0111758705894,0.0262356129687,0.0167050331656,0.033324171322,2.69187942329e-06,7.6706590875e-05,1.84117253289e-05,0.000136080240734,2.55892038228e-07,7.5268430674e-06,1.78947508327e-06,1.33326640224e-05,1.31484101098e-183,6.62,F016021
1.64715779844e+12,40142312.0045,14400591.6195,19822281.1248,13034896.8456,8028462.40089,1487.15350777,6379.75868485,27072.6233661,69867.0216108,99.490065562,15009.7971066,31272.6703154,68136.20621,111080.155975,963.088397282,6395.94767634,17754.1999882,44835.7833553,85365.1638727,413.230188668,21583.3703323,42003.9392889,83005.038279,125769.924743,1315.2884368,24.3404627293,236.260057453,99.7937545644,318.068966204,30.5450931257,313.738563133,128.43670588,433.629293594,19.6996296329,201.600814977,83.032228694,278.774424171,0.000236952907746,0.00235322855232,0.000979492396299,0.00330886366663,0.00121373076372,0.00481334467503,0.00274083623222,0.00632983926388,0.00470102663627,0.00975763010411,0.00694997863086,0.0120080434748,0.0104223603371,0.0149368928221,0.0121561650397,0.0171940850632,1.63278351697e-05,0.000161905940314,6.75807378486e-05,0.000221726998604,1.59969269228e-06,1.5929069344e-05,6.6475191909e-06,2.17328496324e-05,0.000185235158802,0.00186957307104,0.000796659105687,0.00268835665593,0.000794642655877,0.00389522535622,0.00221140725355,0.00523187843344,0.00337208073156,0.0084868313268,0.00558460401462,0.0103388462366,0.00870241624386,0.0138357945057,0.01063281605,0.0156655058544,1.23921693338e-05,0.000119959258597,5.14706512946e-05,0.000163828186659,1.16376528651e-06,1.14260940842e-05,4.90215748729e-06,1.5487179255e-05,5.4569360976e-08,6.38,F017201
2.97894778617e+12,72598904.3615,26295152.9239,35884354.9667,23382088.7632,14519780.8723,711.475274441,4375.98548447,39722.7154685,278904.919909,43.9658245351,16577.9723094,71466.3018025,311178.336489,770618.852236,1234.31550928,4433.73657396,21693.2482287,114546.030825,450835.33827,279.756488811,31292.5010734,132185.641096,484632.411528,1014894.74112,2393.80284454,10.8792085675,321.491158445,68.9400034664,635.48914278,16.3633088647,424.524331145,101.557516763,785.287314453,10.350171826,271.795204936,64.8307300159,507.811913426,6.64136682204e-05,0.00163133690461,0.000401178109435,0.00310096217601,0.000578984545167,0.00724787464027,0.00213097899137,0.0131792383548,0.00689055363975,0.0297969353502,0.0145269038573,0.0469420903237,0.0323576257478,0.0644505972394,0.0441997991612,0.0870764008345,4.36501554982e-06,0.000119622340134,2.72769469546e-05,0.000230049994936,4.28210443719e-07,1.19290878059e-05,2.69858593842e-06,2.29600821531e-05,4.90004140351e-05,0.00114175086079,0.000305358366835,0.00215516345244,0.000301380959049,0.00492199589175,0.00149404790744,0.00910383168026,0.00273576549246,0.0214313383395,0.007888964154,0.0333773915591,0.0192086177031,0.0530737246667,0.0310497343063,0.0698973868852,3.02799504495e-06,8.50092380963e-05,1.92672665842e-05,0.000164864942907,2.82208148452e-07,8.30228422692e-06,1.84881255761e-06,1.61333070915e-05,4.65150870765e-05,6.48,F007801
2.97894778617e+12,72598904.3615,26295152.9239,35884354.9667,23382088.7632,14519780.8723,900.967595848,5398.52959299,49552.2829497,363065.170936,55.7229968476,20633.7553725,92040.8400188,408367.081667,1019799.89612,1561.24801396,5472.22093188,27028.3742304,146833.218709,592815.216424,346.650850504,39362.4771362,172229.9282,640700.850922,1348588.35358,3074.58991336,13.7543391996,407.235133147,85.3723353217,819.039585248,20.5051535529,527.832249464,124.527621353,989.904509633,12.9876615362,338.654421622,79.5866928449,641.745144931,8.36101231852e-05,0.00203384358668,0.000493695501942,0.00391959372182,0.000713416660404,0.0093734214763,0.00266695549918,0.0172460918845,0.00888178485643,0.0393352336994,0.0189539025312,0.0623672125503,0.0426702387354,0.0856105317858,0.0585333895055,0.116110381957,5.49959660229e-06,0.000150221723225,3.36264845115e-05,0.000293506398476,5.39313851026e-07,1.49910939117e-05,3.32702174917e-06,2.93209206889e-05,6.20510463465e-05,0.00142107897867,0.000376880407494,0.00271095531554,0.000371805169821,0.00633899649232,0.00186148637284,0.0118617443138,0.00341274316641,0.0281248791052,0.0101126332415,0.044126068882,0.0250048657159,0.0702352125758,0.0408281103991,0.0928793874677,3.83772987607e-06,0.00010752559062,2.38743858156e-05,0.000211751812262,3.57614806779e-07,1.05151650764e-05,2.29110413594e-06,2.07583989762e-05,3.78088822378e-05,6.58,F007801
2.97894778617e+12,72598904.3615,26295152.9239,35884354.9667,23382088.7632,14519780.8723,1195.63719881,7066.94005988,64762.762226,469893.933145,74.7618132565,27113.45619,120531.205203,528352.806324,1308974.76508,2081.16859671,7171.86018724,35446.8133371,191295.382616,764598.980143,461.062459164,51662.8007431,224558.435176,826157.436162,1727961.16133,4083.96808973,18.4648891707,543.413139824,113.760823353,1088.92245139,26.9734689384,690.117003767,162.380777574,1293.16830554,17.1186344417,443.720564928,103.953274749,839.91762182,0.000110504579555,0.00267036652459,0.000646181087401,0.0051404252635,0.000934261376995,0.0122492869143,0.00349786506806,0.0224360810826,0.0115662656428,0.0507912706377,0.0245907318944,0.0802445705413,0.0549916383292,0.109796137371,0.0753048019336,0.148621782738,7.31081351688e-06,0.00019862917523,4.43323885549e-05,0.000387253106324,7.17274818346e-07,1.98300455422e-05,4.3885408317e-06,3.86994007511e-05,8.23454024084e-05,0.00186734610036,0.000493937219185,0.00355809782513,0.000486711206046,0.00830117246693,0.00244127743035,0.0154656903676,0.00446031264491,0.0363884834744,0.0131748119547,0.0568987537366,0.0323623295198,0.0901511377201,0.0526591266678,0.119007385616,5.14896291576e-06,0.000143333333679,3.17540921051e-05,0.000281269264712,4.80480760132e-07,1.40296037298e-05,3.05076287117e-06,2.75930128103e-05,3.61507007406e-05,6.7,F007801
2.97678483954e+12,72546191.9387,26290781.1831,35860351.8778,23353855.9877,14509238.3877,792.428607733,5328.00283768,61107.3635275,458036.762537,51.7329245952,24544.4385694,117526.726068,510627.410399,1235628.08656,2065.27876589,5479.43522184,32596.771286,187561.759962,734945.104059,387.007010836,48880.5339114,219037.269384,788198.030387,1614819.41667,4141.88384207,12.9928750715,548.919225203,97.8231471569,1120.89293157,18.0495355319,645.462452956,128.388615152,1253.92131332,11.5055719558,417.232018669,82.5421490196,817.504291251,7.40784268945e-05,0.00249052539191,0.000507259001098,0.0049783327248,0.000782665482651,0.0120626471705,0.00331510755653,0.0219412252895,0.0112709568912,0.0487625870472,0.0239530946329,0.0758799517361,0.0525686048593,0.103022879767,0.0714692416815,0.137928164883,5.00058778351e-06,0.000193315372953,3.64347185459e-05,0.000387548340804,4.9358175394e-07,1.9382383107e-05,3.62960863713e-06,3.8854990317e-05,5.46154516561e-05,0.00169164210508,0.000377651471112,0.0033689248605,0.000367214508115,0.00810013061524,0.00224662180156,0.0150964002059,0.00421161758422,0.0351932607869,0.0129270575719,0.0543238734745,0.0315686289174,0.0851614711633,0.0506535963101,0.111295946315,3.5655162051e-06,0.000142342327743,2.66731444128e-05,0.000285465282972,3.35255927007e-07,1.40461577951e-05,2.59152572455e-06,2.8175345624e-05,7.72119746942e-05,6.48,F007802
2.97678483954e+12,72546191.9387,26290781.1831,35860351.8778,23353855.9877,14509238.3877,1060.30194725,7517.25555429,87666.9799796,600102.10192,70.9127832783,35551.7495883,162285.223598,659507.299186,1521957.51388,3039.30433012,7764.61967941,47050.0513873,257155.004141,934619.947901,568.04707639,69951.2737695,293786.08421,992275.713683,1958446.25134,5953.05219793,17.9489186657,809.054384067,144.582638396,1608.80394846,24.2430960556,929.651160308,183.265833377,1772.30697022,15.4924220749,602.362749895,118.09610712,1157.31707832,9.96350388678e-05,0.00360464677187,0.00072413534555,0.00707669117364,0.00112859647255,0.0164680529739,0.00476934349358,0.0290259708028,0.0152786286168,0.0618781429708,0.0315243642987,0.0938190108729,0.0662978914186,0.125577896224,0.0888352098458,0.165392547771,6.80327126613e-06,0.000282173515713,5.29233940825e-05,0.00055295151955,6.73293890498e-07,2.82992357608e-05,5.28102913008e-06,5.54255048599e-05,7.30777122077e-05,0.00245028364951,0.000535150052119,0.0048211540744,0.000518101319545,0.0111849581116,0.00324276506664,0.0202482085109,0.00604214898376,0.045454301705,0.0177235356721,0.0683892349939,0.0413600001518,0.104895754912,0.0644155070669,0.134979259352,4.88742285316e-06,0.000209473733141,3.91507163373e-05,0.000410293913356,4.61347059035e-07,2.0688356741e-05,3.81668092465e-06,4.04892781308e-05,6.27602492448e-05,6.58,F007802
2.97678483954e+12,72546191.9387,26290781.1831,35860351.8778,23353855.9877,14509238.3877,1624.86847602,12587.6593935,146578.56829,870123.386529,115.013668185,60873.9429094,256516.98258,934595.358892,1988665.01813,5337.82801778,13086.5523862,79848.3048735,400522.46374,1290378.83428,1016.17147085,116982.930688,443118.315776,1346372.66698,2486932.0848,10054.0842702,29.5615636189,1422.89010801,261.163171197,2710.70459326,37.3851988833,1566.13264624,310.038118872,2894.5806612,24.0439546042,1019.5939449,200.796358894,1896.31633098,0.000154383282512,0.00614122658697,0.00123063907819,0.0116899458642,0.00193220189574,0.025548276393,0.00803316120255,0.04281828341,0.0234544543365,0.085141066626,0.0461135517656,0.123328966955,0.0902927800014,0.160936357361,0.117913139669,0.205499091152,1.08327003937e-05,0.000487625545299,9.26852042948e-05,0.000920485222843,1.07756233978e-06,4.89223536559e-05,9.27132739876e-06,9.22407513775e-05,0.000111988543616,0.00419552986053,0.000901946197073,0.00806265136475,0.000867561691185,0.017679562202,0.00550327334486,0.0305404256195,0.0101024302154,0.0644138123529,0.027604651122,0.0927941654139,0.0599703005268,0.137061985267,0.0889349805824,0.171403351323,7.92692663191e-06,0.000367891675299,7.00361689353e-05,0.000692943626775,7.54558545951e-07,3.63739468932e-05,6.86142319599e-06,6.83648961024e-05,6.00077773942e-05,6.7,F007802
3.12739969881e+12,76216774.4894,27550622.2566,37664950.2842,24589292.7766,15243354.8979,70917.7178956,316957.069045,1382640.19414,3161412.4108,5620.68562005,804695.110037,1691053.2551,3152342.38768,4362579.27799,63717.7945139,321872.02083,937126.325681,2223770.4141,3687882.05583,25154.8019389,1156918.48173,2194108.20572,3654641.0235,4752776.39506,87922.7342637,1424.43733275,16250.2546301,6323.18864688,22299.1040939,1421.78281787,16281.5684379,6407.55554111,22339.8656958,934.716729098,10699.477789,4199.83710912,14688.614673,0.0059575338966,0.0668526781569,0.0262364856421,0.0937752714509,0.0330687075205,0.13524743083,0.0771935938813,0.170876806517,0.12581478272,0.232922684705,0.177909291539,0.26962210287,0.238441451509,0.304778150117,0.268050953404,0.334855105885,0.000452348610322,0.00515742128665,0.00201428646934,0.00709777776676,4.48642519315e-05,0.000512539906378,0.000200149828966,0.000703477797113,0.00465236940101,0.0527898953628,0.02111556301,0.0758965785076,0.0207931305916,0.11093707825,0.0614776951635,0.143938668385,0.0907044547214,0.206801088658,0.145884579149,0.239753062759,0.207396103547,0.286195480406,0.241933752808,0.311793330727,0.000368730220985,0.00418003746162,0.00165021428074,0.00576793854455,3.53575374844e-05,0.000405686939821,0.000159938012936,0.000556682415183,7.75510882826e-05,6.48,F007803
