,# MNO,JLG,JLA,WLG,WLA,FRQ,BVL,MMN,ANO,DEP,STR,DIP
0,1,143.904,46.798,143.9,46.8,0.000198723,0.9,5.0,4,3.0,0.0,90.0
1,2,144.004,46.798,144.0,46.8,0.000197099,0.9,5.0,4,3.0,0.0,90.0
2,3,144.104,46.798,144.1,46.8,0.000195935,0.9,5.0,4,3.0,0.0,90.0
3,4,143.704,46.698,143.7,46.7,0.000206511,0.9,5.0,4,3.0,0.0,90.0
4,5,143.804,46.698,143.8,46.7,0.000203961,0.9,5.0,4,3.0,0.0,90.0
5,6,143.904,46.698,143.9,46.7,0.000201275,0.9,5.0,4,3.0,0.0,90.0
6,7,144.004,46.698,144.0,46.7,0.000198965,0.9,5.0,4,3.0,0.0,90.0
7,8,144.104,46.698,144.1,46.7,0.000197244,0.9,5.0,4,3.0,0.0,90.0
8,9,143.504,46.598,143.5,46.6,0.000210602,0.9,5.0,4,3.0,0.0,90.0
9,10,143.604,46.598,143.6,46.6,0.00021091,0.9,5.0,4,3.0,0.0,90.0
10,11,143.704,46.598,143.7,46.6,0.000209397,0.9,5.0,4,3.0,0.0,90.0
11,12,143.804,46.598,143.8,46.6,0.000206607,0.9,5.0,4,3.0,0.0,90.0
12,13,143.904,46.598,143.9,46.6,0.00020341,0.9,5.0,4,3.0,0.0,90.0
13,14,144.004,46.598,144.0,46.6,0.000200539,0.9,5.0,4,3.0,0.0,90.0
14,15,144.104,46.598,144.1,46.6,0.00019835,0.9,5.0,4,3.0,0.0,90.0
15,16,141.104,46.498,141.1,46.5,0.000224942,0.9,5.0,6,3.0,0.0,90.0
16,17,141.204,46.498,141.2,46.5,0.000219962,0.9,5.0,6,3.0,0.0,90.0
17,18,141.304,46.498,141.3,46.5,0.000216481,0.9,5.0,6,3.0,0.0,90.0
18,19,141.404,46.498,141.4,46.5,0.000215158,0.9,5.0,6,3.0,0.0,90.0
19,20,141.504,46.498,141.5,46.5,0.000216166,0.9,5.0,6,3.0,0.0,90.0
20,21,143.304,46.498,143.3,46.5,0.000205142,0.9,5.0,4,3.0,0.0,90.0
21,22,143.404,46.498,143.4,46.5,0.000208441,0.9,5.0,4,3.0,0.0,90.0
22,23,143.504,46.498,143.5,46.5,0.000210853,0.9,5.0,4,3.0,0.0,90.0
23,24,143.604,46.498,143.6,46.5,0.000211524,0.9,5.0,4,3.0,0.0,90.0
24,25,143.704,46.498,143.7,46.5,0.000210194,0.9,5.0,4,3.0,0.0,90.0
25,26,143.804,46.498,143.8,46.5,0.000207378,0.9,5.0,4,3.0,0.0,90.0
26,27,143.904,46.498,143.9,46.5,0.000204027,0.9,5.0,4,3.0,0.0,90.0
27,28,144.004,46.498,144.0,46.5,0.00020099,0.9,5.0,4,3.0,0.0,90.0
28,29,144.104,46.498,144.1,46.5,0.000198691,0.9,5.0,4,3.0,0.0,90.0
29,30,141.104,46.398,141.1,46.4,0.000224167,0.9,5.0,6,3.0,0.0,90.0
30,31,141.204,46.398,141.2,46.4,0.000219988,0.9,5.0,6,3.0,0.0,90.0
31,32,141.304,46.398,141.3,46.4,0.000217297,0.9,5.0,6,3.0,0.0,90.0
32,33,141.404,46.398,141.4,46.4,0.000217143,0.9,5.0,6,3.0,0.0,90.0
33,34,141.504,46.398,141.5,46.4,0.00022031,0.9,5.0,6,3.0,0.0,90.0
34,35,141.604,46.398,141.6,46.4,0.000299229,0.9,5.0,5,3.0,0.0,90.0
35,36,143.104,46.398,143.1,46.4,0.000199384,0.9,5.0,4,3.0,0.0,90.0
36,37,143.204,46.398,143.2,46.4,0.00020115,0.9,5.0,4,3.0,0.0,90.0
37,38,143.304,46.398,143.3,46.4,0.000203699,0.9,5.0,4,3.0,0.0,90.0
38,39,143.404,46.398,143.4,46.4,0.000206508,0.9,5.0,4,3.0,0.0,90.0
39,40,143.504,46.398,143.5,46.4,0.000208667,0.9,5.0,4,3.0,0.0,90.0
40,41,143.604,46.398,143.6,46.4,0.000209305,0.9,5.0,4,3.0,0.0,90.0
41,42,143.704,46.398,143.7,46.4,0.000208129,0.9,5.0,4,3.0,0.0,90.0
42,43,143.804,46.398,143.8,46.4,0.00020561,0.9,5.0,4,3.0,0.0,90.0
43,44,143.904,46.398,143.9,46.4,0.000202655,0.9,5.0,4,3.0,0.0,90.0
44,45,144.004,46.398,144.0,46.4,0.000200045,0.9,5.0,4,3.0,0.0,90.0
45,46,144.104,46.398,144.1,46.4,0.00019814,0.9,5.0,4,3.0,0.0,90.0
46,47,141.104,46.298,141.1,46.3,0.000224057,0.9,5.0,6,3.0,0.0,90.0
47,48,141.204,46.298,141.2,46.3,0.000220573,0.9,5.0,6,3.0,0.0,90.0
48,49,141.304,46.298,141.3,46.3,0.000218684,0.9,5.0,6,3.0,0.0,90.0
49,50,141.404,46.298,141.4,46.3,0.000220106,0.9,5.0,6,3.0,0.0,90.0
50,51,141.504,46.298,141.5,46.3,0.000226525,0.9,5.0,6,3.0,0.0,90.0
51,52,141.604,46.298,141.6,46.3,0.000311247,0.9,5.0,5,3.0,0.0,90.0
52,53,141.704,46.298,141.7,46.3,0.000331691,0.9,5.0,5,3.0,0.0,90.0
53,54,141.804,46.298,141.8,46.3,0.000358478,0.9,5.0,5,3.0,0.0,90.0
54,55,142.904,46.298,142.9,46.3,0.000199756,0.9,5.0,4,3.0,0.0,90.0
55,56,143.004,46.298,143.0,46.3,0.000199683,0.9,5.0,4,3.0,0.0,90.0
56,57,143.104,46.298,143.1,46.3,0.000199825,0.9,5.0,4,3.0,0.0,90.0
57,58,143.204,46.298,143.2,46.3,0.000200467,0.9,5.0,4,3.0,0.0,90.0
58,59,143.304,46.298,143.3,46.3,0.000201739,0.9,5.0,4,3.0,0.0,90.0
59,60,143.404,46.298,143.4,46.3,0.000203363,0.9,5.0,4,3.0,0.0,90.0
60,61,143.504,46.298,143.5,46.3,0.000204674,0.9,5.0,4,3.0,0.0,90.0
61,62,143.604,46.298,143.6,46.3,0.000204985,0.9,5.0,4,3.0,0.0,90.0
62,63,143.704,46.298,143.7,46.3,0.000204054,0.9,5.0,4,3.0,0.0,90.0
63,64,143.804,46.298,143.8,46.3,0.000202238,0.9,5.0,4,3.0,0.0,90.0
64,65,143.904,46.298,143.9,46.3,0.0002002,0.9,5.0,4,3.0,0.0,90.0
65,66,144.004,46.298,144.0,46.3,0.000198483,0.9,5.0,4,3.0,0.0,90.0
66,67,144.104,46.298,144.1,46.3,0.000197296,0.9,5.0,4,3.0,0.0,90.0
67,68,144.204,46.298,144.2,46.3,0.000196587,0.9,5.0,4,3.0,0.0,90.0
68,69,150.005,46.298,150.0,46.3,0.000247423,0.9,5.0,3,3.0,0.0,90.0
69,70,141.104,46.198,141.1,46.2,0.000223334,0.9,5.0,6,3.0,0.0,90.0
70,71,141.204,46.198,141.2,46.2,0.000220706,0.9,5.0,6,3.0,0.0,90.0
71,72,141.304,46.198,141.3,46.2,0.000219914,0.9,5.0,6,3.0,0.0,90.0
72,73,141.404,46.198,141.4,46.2,0.000223348,0.9,5.0,6,3.0,0.0,90.0
73,74,141.504,46.198,141.5,46.2,0.000233514,0.9,5.0,6,3.0,0.0,90.0
74,75,141.604,46.198,141.6,46.2,0.000324164,0.9,5.0,5,3.0,0.0,90.0
75,76,141.704,46.198,141.7,46.2,0.000351453,0.9,5.0,5,3.0,0.0,90.0
76,77,141.804,46.198,141.8,46.2,0.000383475,0.9,5.0,5,3.0,0.0,90.0
77,78,141.904,46.198,141.9,46.2,0.000412552,0.9,5.0,5,3.0,0.0,90.0
78,79,142.704,46.198,142.7,46.2,0.000203283,0.9,5.0,4,3.0,0.0,90.0
79,80,142.804,46.198,142.8,46.2,0.000202318,0.9,5.0,4,3.0,0.0,90.0
80,81,142.904,46.198,142.9,46.2,0.000201844,0.9,5.0,4,3.0,0.0,90.0
81,82,143.004,46.198,143.0,46.2,0.00020133,0.9,5.0,4,3.0,0.0,90.0
82,83,143.104,46.198,143.1,46.2,0.00020073,0.9,5.0,4,3.0,0.0,90.0
83,84,143.204,46.198,143.2,46.2,0.000200259,0.9,5.0,4,3.0,0.0,90.0
84,85,143.304,46.198,143.3,46.2,0.000200169,0.9,5.0,4,3.0,0.0,90.0
85,86,143.404,46.198,143.4,46.2,0.000200451,0.9,5.0,4,3.0,0.0,90.0
86,87,143.504,46.198,143.5,46.2,0.000200781,0.9,5.0,4,3.0,0.0,90.0
87,88,143.604,46.198,143.6,46.2,0.000200743,0.9,5.0,4,3.0,0.0,90.0
88,89,143.704,46.198,143.7,46.2,0.000200157,0.9,5.0,4,3.0,0.0,90.0
89,90,143.804,46.198,143.8,46.2,0.000199183,0.9,5.0,4,3.0,0.0,90.0
90,91,143.904,46.198,143.9,46.2,0.000198153,0.9,5.0,4,3.0,0.0,90.0
91,92,144.004,46.198,144.0,46.2,0.000197329,0.9,5.0,4,3.0,0.0,90.0
92,93,144.104,46.198,144.1,46.2,0.000196791,0.9,5.0,4,3.0,0.0,90.0
93,94,144.204,46.198,144.2,46.2,0.00019649,0.9,5.0,4,3.0,0.0,90.0
94,95,149.605,46.198,149.6,46.2,0.000247963,0.9,5.0,3,3.0,0.0,90.0
95,96,149.705,46.198,149.7,46.2,0.000247967,0.9,5.0,3,3.0,0.0,90.0
96,97,149.805,46.198,149.8,46.2,0.000247958,0.9,5.0,3,3.0,0.0,90.0
97,98,149.905,46.198,149.9,46.2,0.000247941,0.9,5.0,3,3.0,0.0,90.0
98,99,150.005,46.198,150.0,46.2,0.00024792,0.9,5.0,3,3.0,0.0,90.0
99,100,141.004,46.098,141.0,46.1,0.000222201,0.9,5.0,6,3.0,0.0,90.0
100,101,141.104,46.098,141.1,46.1,0.000220837,0.9,5.0,6,3.0,0.0,90.0
101,102,141.204,46.098,141.2,46.1,0.000219546,0.9,5.0,6,3.0,0.0,90.0
102,103,141.304,46.098,141.3,46.1,0.000220374,0.9,5.0,6,3.0,0.0,90.0
103,104,141.404,46.098,141.4,46.1,0.000225895,0.9,5.0,6,3.0,0.0,90.0
104,105,141.504,46.098,141.5,46.1,0.000238714,0.9,5.0,6,3.0,0.0,90.0
105,106,141.604,46.098,141.6,46.1,0.000332125,0.9,5.0,5,3.0,0.0,90.0
106,107,141.704,46.098,141.7,46.1,0.000360351,0.9,5.0,5,3.0,0.0,90.0
107,108,141.804,46.098,141.8,46.1,0.000389259,0.9,5.0,5,3.0,0.0,90.0
108,109,141.904,46.098,141.9,46.1,0.000409657,0.9,5.0,5,3.0,0.0,90.0
109,110,142.004,46.098,142.0,46.1,0.000412803,0.9,5.0,5,3.0,0.0,90.0
110,111,142.504,46.098,142.5,46.1,0.000214469,0.9,5.0,4,3.0,0.0,90.0
111,112,142.604,46.098,142.6,46.1,0.000209525,0.9,5.0,4,3.0,0.0,90.0
112,113,142.704,46.098,142.7,46.1,0.000206773,0.9,5.0,4,3.0,0.0,90.0
113,114,142.804,46.098,142.8,46.1,0.000204987,0.9,5.0,4,3.0,0.0,90.0
114,115,142.904,46.098,142.9,46.1,0.000203808,0.9,5.0,4,3.0,0.0,90.0
115,116,143.004,46.098,143.0,46.1,0.000202714,0.9,5.0,4,3.0,0.0,90.0
116,117,143.104,46.098,143.1,46.1,0.000201519,0.9,5.0,4,3.0,0.0,90.0
117,118,143.204,46.098,143.2,46.1,0.000200315,0.9,5.0,4,3.0,0.0,90.0
118,119,143.304,46.098,143.3,46.1,0.000199353,0.9,5.0,4,3.0,0.0,90.0
119,120,143.404,46.098,143.4,46.1,0.000198773,0.9,5.0,4,3.0,0.0,90.0
120,121,143.504,46.098,143.5,46.1,0.000198482,0.9,5.0,4,3.0,0.0,90.0
121,122,143.604,46.098,143.6,46.1,0.000198258,0.9,5.0,4,3.0,0.0,90.0
122,123,143.704,46.098,143.7,46.1,0.000197955,0.9,5.0,4,3.0,0.0,90.0
123,124,143.804,46.098,143.8,46.1,0.000197572,0.9,5.0,4,3.0,0.0,90.0
124,125,143.904,46.098,143.9,46.1,0.0001972,0.9,5.0,4,3.0,0.0,90.0
125,126,144.004,46.098,144.0,46.1,0.00019692,0.9,5.0,4,3.0,0.0,90.0
126,127,144.104,46.098,144.1,46.1,0.000196745,0.9,5.0,4,3.0,0.0,90.0
127,128,144.204,46.098,144.2,46.1,0.000196654,0.9,5.0,4,3.0,0.0,90.0
128,129,144.304,46.098,144.3,46.1,0.000196614,0.9,5.0,4,3.0,0.0,90.0
129,130,149.205,46.098,149.2,46.1,0.00024879,0.9,5.0,3,3.0,0.0,90.0
