,# MNO,JLG,JLA,WLG,WLA,FRQ,BVL,MMN,ANO,DEP,STR,DIP
0,1,139.303,34.997,139.3,35.0,0.00775419,0.9,5.0,1,3.0,0.0,90.0
1,2,139.403,34.997,139.4,35.0,0.00530315,0.9,5.0,1,3.0,0.0,90.0
2,3,139.303,34.897,139.3,34.9,0.00776624,0.9,5.0,1,3.0,0.0,90.0
3,4,139.403,34.897,139.4,34.9,0.00555524,0.9,5.0,1,3.0,0.0,90.0
4,5,139.503,34.897,139.5,34.9,0.00368761,0.9,5.0,1,3.0,0.0,90.0
5,6,139.603,34.897,139.6,34.9,0.00250352,0.9,5.0,1,3.0,0.0,90.0
6,7,139.303,34.797,139.3,34.8,0.00663821,0.9,5.0,1,3.0,0.0,90.0
7,8,139.403,34.797,139.4,34.8,0.00514497,0.9,5.0,1,3.0,0.0,90.0
8,9,139.503,34.797,139.5,34.8,0.00368127,0.9,5.0,1,3.0,0.0,90.0
9,10,139.603,34.797,139.6,34.8,0.00261238,0.9,5.0,1,3.0,0.0,90.0
10,11,139.703,34.797,139.7,34.8,0.0019819,0.9,5.0,1,3.0,0.0,90.0
11,12,139.803,34.797,139.8,34.8,0.00167109,0.9,5.0,1,3.0,0.0,90.0
12,13,139.903,34.797,139.9,34.8,0.0015426,0.9,5.0,1,3.0,0.0,90.0
13,14,140.003,34.797,140.0,34.8,0.000338205,0.9,5.0,2,3.0,0.0,90.0
14,15,140.103,34.797,140.1,34.8,0.000327516,0.9,5.0,2,3.0,0.0,90.0
15,16,140.203,34.797,140.2,34.8,0.00032727,0.9,5.0,2,3.0,0.0,90.0
16,17,140.303,34.797,140.3,34.8,0.000329505,0.9,5.0,2,3.0,0.0,90.0
17,18,140.403,34.797,140.4,34.8,0.000331921,0.9,5.0,2,3.0,0.0,90.0
18,19,140.503,34.797,140.5,34.8,0.000334463,0.9,5.0,2,3.0,0.0,90.0
19,20,140.603,34.797,140.6,34.8,0.000337346,0.9,5.0,2,3.0,0.0,90.0
20,21,140.703,34.797,140.7,34.8,0.000340059,0.9,5.0,2,3.0,0.0,90.0
21,22,140.803,34.797,140.8,34.8,0.000341749,0.9,5.0,2,3.0,0.0,90.0
22,23,140.903,34.797,140.9,34.8,0.000342039,0.9,5.0,2,3.0,0.0,90.0
23,24,139.303,34.697,139.3,34.7,0.00546258,0.9,5.0,1,3.0,0.0,90.0
24,25,139.403,34.697,139.4,34.7,0.00458522,0.9,5.0,1,3.0,0.0,90.0
25,26,139.503,34.697,139.5,34.7,0.0035238,0.9,5.0,1,3.0,0.0,90.0
26,27,139.603,34.697,139.6,34.7,0.00262018,0.9,5.0,1,3.0,0.0,90.0
27,28,139.703,34.697,139.7,34.7,0.00201928,0.9,5.0,1,3.0,0.0,90.0
28,29,139.803,34.697,139.8,34.7,0.00169648,0.9,5.0,1,3.0,0.0,90.0
29,30,139.903,34.697,139.9,34.7,0.00155562,0.9,5.0,1,3.0,0.0,90.0
30,31,140.003,34.697,140.0,34.7,0.00034395,0.9,5.0,2,3.0,0.0,90.0
31,32,140.103,34.697,140.1,34.7,0.000330953,0.9,5.0,2,3.0,0.0,90.0
32,33,140.203,34.697,140.2,34.7,0.000329605,0.9,5.0,2,3.0,0.0,90.0
33,34,140.303,34.697,140.3,34.7,0.000330751,0.9,5.0,2,3.0,0.0,90.0
34,35,140.403,34.697,140.4,34.7,0.000331684,0.9,5.0,2,3.0,0.0,90.0
35,36,140.503,34.697,140.5,34.7,0.000332528,0.9,5.0,2,3.0,0.0,90.0
36,37,140.603,34.697,140.6,34.7,0.000333908,0.9,5.0,2,3.0,0.0,90.0
37,38,140.703,34.697,140.7,34.7,0.000335529,0.9,5.0,2,3.0,0.0,90.0
38,39,140.803,34.697,140.8,34.7,0.000336525,0.9,5.0,2,3.0,0.0,90.0
39,40,140.903,34.697,140.9,34.7,0.000336499,0.9,5.0,2,3.0,0.0,90.0
40,41,139.203,34.597,139.2,34.6,0.00516954,0.9,5.0,1,3.0,0.0,90.0
41,42,139.303,34.597,139.3,34.6,0.00502398,0.9,5.0,1,3.0,0.0,90.0
42,43,139.403,34.597,139.4,34.6,0.00433846,0.9,5.0,1,3.0,0.0,90.0
43,44,139.503,34.597,139.5,34.6,0.00342196,0.9,5.0,1,3.0,0.0,90.0
44,45,139.603,34.597,139.6,34.6,0.002592,0.9,5.0,1,3.0,0.0,90.0
45,46,139.703,34.597,139.7,34.6,0.00201649,0.9,5.0,1,3.0,0.0,90.0
46,47,139.803,34.597,139.8,34.6,0.00170002,0.9,5.0,1,3.0,0.0,90.0
47,48,139.903,34.597,139.9,34.6,0.00156095,0.9,5.0,1,3.0,0.0,90.0
48,49,140.003,34.597,140.0,34.6,0.000348476,0.9,5.0,2,3.0,0.0,90.0
49,50,140.103,34.597,140.1,34.6,0.000335099,0.9,5.0,2,3.0,0.0,90.0
50,51,140.203,34.597,140.2,34.6,0.000332747,0.9,5.0,2,3.0,0.0,90.0
51,52,140.303,34.597,140.3,34.6,0.00033263,0.9,5.0,2,3.0,0.0,90.0
52,53,140.403,34.597,140.4,34.6,0.000332262,0.9,5.0,2,3.0,0.0,90.0
53,54,140.503,34.597,140.5,34.6,0.000331873,0.9,5.0,2,3.0,0.0,90.0
54,55,140.603,34.597,140.6,34.6,0.000332184,0.9,5.0,2,3.0,0.0,90.0
55,56,140.703,34.597,140.7,34.6,0.000332946,0.9,5.0,2,3.0,0.0,90.0
56,57,140.803,34.597,140.8,34.6,0.000333295,0.9,5.0,2,3.0,0.0,90.0
57,58,140.903,34.597,140.9,34.6,0.000332808,0.9,5.0,2,3.0,0.0,90.0
58,59,139.103,34.497,139.1,34.5,0.00565321,0.9,5.0,1,3.0,0.0,90.0
59,60,139.203,34.497,139.2,34.5,0.00614965,0.9,5.0,1,3.0,0.0,90.0
60,61,139.303,34.497,139.3,34.5,0.00585076,0.9,5.0,1,3.0,0.0,90.0
61,62,139.403,34.497,139.4,34.5,0.00491576,0.9,5.0,1,3.0,0.0,90.0
62,63,139.503,34.497,139.5,34.5,0.00375215,0.9,5.0,1,3.0,0.0,90.0
