,# MNO,JLG,JLA,WLG,WLA,FRQ,BVL,MMN,ANO,DEP,STR,DIP
0,1,140.704,46.498,140.7,46.5,0.000402257,0.9,5.0,1,3.0,0.0,90.0
1,2,140.804,46.498,140.8,46.5,0.000403987,0.9,5.0,1,3.0,0.0,90.0
2,3,140.904,46.498,140.9,46.5,0.000403115,0.9,5.0,1,3.0,0.0,90.0
3,4,141.004,46.498,141.0,46.5,0.0003996,0.9,5.0,1,3.0,0.0,90.0
4,5,140.604,46.398,140.6,46.4,0.000395599,0.9,5.0,1,3.0,0.0,90.0
5,6,140.704,46.398,140.7,46.4,0.000399007,0.9,5.0,1,3.0,0.0,90.0
6,7,140.804,46.398,140.8,46.4,0.000401047,0.9,5.0,1,3.0,0.0,90.0
7,8,140.904,46.398,140.9,46.4,0.000400841,0.9,5.0,1,3.0,0.0,90.0
8,9,141.004,46.398,141.0,46.4,0.000398213,0.9,5.0,1,3.0,0.0,90.0
9,10,140.504,46.298,140.5,46.3,0.000389559,0.9,5.0,1,3.0,0.0,90.0
10,11,140.604,46.298,140.6,46.3,0.000392911,0.9,5.0,1,3.0,0.0,90.0
11,12,140.704,46.298,140.7,46.3,0.000396261,0.9,5.0,1,3.0,0.0,90.0
12,13,140.804,46.298,140.8,46.3,0.000398683,0.9,5.0,1,3.0,0.0,90.0
13,14,140.904,46.298,140.9,46.3,0.00039924,0.9,5.0,1,3.0,0.0,90.0
14,15,141.004,46.298,141.0,46.3,0.000397539,0.9,5.0,1,3.0,0.0,90.0
15,16,140.404,46.198,140.4,46.2,0.000385617,0.9,5.0,1,3.0,0.0,90.0
16,17,140.504,46.198,140.5,46.2,0.00038774,0.9,5.0,1,3.0,0.0,90.0
17,18,140.604,46.198,140.6,46.2,0.00039051,0.9,5.0,1,3.0,0.0,90.0
18,19,140.704,46.198,140.7,46.2,0.00039354,0.9,5.0,1,3.0,0.0,90.0
19,20,140.804,46.198,140.8,46.2,0.000396053,0.9,5.0,1,3.0,0.0,90.0
20,21,140.904,46.198,140.9,46.2,0.000397132,0.9,5.0,1,3.0,0.0,90.0
21,22,141.004,46.198,141.0,46.2,0.000396231,0.9,5.0,1,3.0,0.0,90.0
22,23,140.404,46.098,140.4,46.1,0.000384823,0.9,5.0,1,3.0,0.0,90.0
23,24,140.504,46.098,140.5,46.1,0.000386193,0.9,5.0,1,3.0,0.0,90.0
24,25,140.604,46.098,140.6,46.1,0.000388096,0.9,5.0,1,3.0,0.0,90.0
25,26,140.704,46.098,140.7,46.1,0.000390311,0.9,5.0,1,3.0,0.0,90.0
26,27,140.804,46.098,140.8,46.1,0.000392295,0.9,5.0,1,3.0,0.0,90.0
27,28,140.904,46.098,140.9,46.1,0.000393349,0.9,5.0,1,3.0,0.0,90.0
28,29,140.304,45.998,140.3,46.0,0.000384074,0.9,5.0,1,3.0,0.0,90.0
29,30,140.404,45.998,140.4,46.0,0.000384472,0.9,5.0,1,3.0,0.0,90.0
30,31,140.504,45.998,140.5,46.0,0.000385146,0.9,5.0,1,3.0,0.0,90.0
31,32,140.604,45.998,140.6,46.0,0.000386126,0.9,5.0,1,3.0,0.0,90.0
32,33,140.704,45.998,140.7,46.0,0.00038731,0.9,5.0,1,3.0,0.0,90.0
33,34,140.804,45.998,140.8,46.0,0.000388411,0.9,5.0,1,3.0,0.0,90.0
34,35,140.904,45.998,140.9,46.0,0.000389072,0.9,5.0,1,3.0,0.0,90.0
35,36,140.204,45.898,140.2,45.9,0.000384495,0.9,5.0,1,3.0,0.0,90.0
36,37,140.304,45.898,140.3,45.9,0.000384526,0.9,5.0,1,3.0,0.0,90.0
37,38,140.404,45.898,140.4,45.9,0.000384638,0.9,5.0,1,3.0,0.0,90.0
38,39,140.504,45.898,140.5,45.9,0.000384863,0.9,5.0,1,3.0,0.0,90.0
39,40,140.604,45.898,140.6,45.9,0.000385214,0.9,5.0,1,3.0,0.0,90.0
40,41,140.704,45.898,140.7,45.9,0.000385652,0.9,5.0,1,3.0,0.0,90.0
41,42,140.804,45.898,140.8,45.9,0.000386067,0.9,5.0,1,3.0,0.0,90.0
42,43,140.904,45.898,140.9,45.9,0.000386374,0.9,5.0,1,3.0,0.0,90.0
43,44,140.104,45.798,140.1,45.8,0.000385636,0.9,5.0,1,3.0,0.0,90.0
44,45,140.204,45.798,140.2,45.8,0.000385451,0.9,5.0,1,3.0,0.0,90.0
45,46,140.304,45.798,140.3,45.8,0.000385308,0.9,5.0,1,3.0,0.0,90.0
46,47,140.404,45.798,140.4,45.8,0.000385228,0.9,5.0,1,3.0,0.0,90.0
47,48,140.504,45.798,140.5,45.8,0.000385218,0.9,5.0,1,3.0,0.0,90.0
48,49,140.604,45.798,140.6,45.8,0.000385273,0.9,5.0,1,3.0,0.0,90.0
49,50,140.704,45.798,140.7,45.8,0.000385369,0.9,5.0,1,3.0,0.0,90.0
50,51,140.804,45.798,140.8,45.8,0.00038547,0.9,5.0,1,3.0,0.0,90.0
51,52,140.904,45.798,140.9,45.8,0.000385607,0.9,5.0,1,3.0,0.0,90.0
52,53,140.004,45.698,140.0,45.7,0.000388066,0.9,5.0,1,3.0,0.0,90.0
53,54,140.104,45.698,140.1,45.7,0.000387621,0.9,5.0,1,3.0,0.0,90.0
54,55,140.204,45.698,140.2,45.7,0.000387091,0.9,5.0,1,3.0,0.0,90.0
55,56,140.304,45.698,140.3,45.7,0.00038659,0.9,5.0,1,3.0,0.0,90.0
56,57,140.404,45.698,140.4,45.7,0.000386206,0.9,5.0,1,3.0,0.0,90.0
57,58,140.504,45.698,140.5,45.7,0.000385968,0.9,5.0,1,3.0,0.0,90.0
58,59,140.604,45.698,140.6,45.7,0.000385853,0.9,5.0,1,3.0,0.0,90.0
59,60,140.704,45.698,140.7,45.7,0.000385815,0.9,5.0,1,3.0,0.0,90.0
60,61,140.804,45.698,140.8,45.7,0.000385813,0.9,5.0,1,3.0,0.0,90.0
61,62,140.904,45.698,140.9,45.7,0.000385879,0.9,5.0,1,3.0,0.0,90.0
62,63,139.904,45.598,139.9,45.6,0.000391653,0.9,5.0,1,3.0,0.0,90.0
63,64,140.004,45.598,140.0,45.6,0.000391504,0.9,5.0,1,3.0,0.0,90.0
64,65,140.104,45.598,140.1,45.6,0.000390811,0.9,5.0,1,3.0,0.0,90.0
65,66,140.204,45.598,140.2,45.6,0.000389745,0.9,5.0,1,3.0,0.0,90.0
66,67,140.304,45.598,140.3,45.6,0.0003886,0.9,5.0,1,3.0,0.0,90.0
67,68,140.404,45.598,140.4,45.6,0.00038765,0.9,5.0,1,3.0,0.0,90.0
68,69,140.504,45.598,140.5,45.6,0.000387024,0.9,5.0,1,3.0,0.0,90.0
69,70,140.604,45.598,140.6,45.6,0.000386694,0.9,5.0,1,3.0,0.0,90.0
70,71,140.704,45.598,140.7,45.6,0.00038655,0.9,5.0,1,3.0,0.0,90.0
71,72,140.804,45.598,140.8,45.6,0.000386492,0.9,5.0,1,3.0,0.0,90.0
72,73,140.904,45.598,140.9,45.6,0.000386499,0.9,5.0,1,3.0,0.0,90.0
73,74,139.804,45.498,139.8,45.5,0.000393842,0.9,5.0,1,3.0,0.0,90.0
74,75,139.904,45.498,139.9,45.5,0.000394861,0.9,5.0,1,3.0,0.0,90.0
75,76,140.004,45.498,140.0,45.5,0.000395115,0.9,5.0,1,3.0,0.0,90.0
76,77,140.104,45.498,140.1,45.5,0.000394384,0.9,5.0,1,3.0,0.0,90.0
77,78,140.204,45.498,140.2,45.5,0.000392844,0.9,5.0,1,3.0,0.0,90.0
78,79,140.304,45.498,140.3,45.5,0.000391006,0.9,5.0,1,3.0,0.0,90.0
79,80,140.404,45.498,140.4,45.5,0.00038942,0.9,5.0,1,3.0,0.0,90.0
80,81,140.504,45.498,140.5,45.5,0.000388378,0.9,5.0,1,3.0,0.0,90.0
