,# MNO,JLG,JLA,WLG,WLA,FRQ,BVL,MMN,ANO,DEP,STR,DIP
0,1,150.905,46.598,150.9,46.6,0.0,0.9,5.0,10,118.7,228.0,49.0
1,2,151.005,46.598,151.0,46.6,0.0,0.9,5.0,10,113.1,228.0,49.0
2,3,151.105,46.598,151.1,46.6,0.0,0.9,5.0,10,107.4,228.0,49.0
3,4,150.705,46.498,150.7,46.5,0.0,0.9,5.0,10,121.0,229.0,48.0
4,5,150.805,46.498,150.8,46.5,0.0,0.9,5.0,10,115.0,229.0,49.0
5,6,150.905,46.498,150.9,46.5,0.0,0.9,5.0,10,109.1,229.0,49.0
6,7,151.005,46.498,151.0,46.5,0.0,0.9,5.0,10,103.4,229.0,49.0
7,8,151.105,46.498,151.1,46.5,0.0,0.9,5.0,10,97.8,228.0,49.0
8,9,151.205,46.498,151.2,46.5,0.0,0.9,5.0,10,92.0,228.0,48.0
9,10,150.505,46.398,150.5,46.4,0.0,0.9,5.0,10,122.9,229.0,50.0
10,11,150.605,46.398,150.6,46.4,0.0,0.9,5.0,10,117.1,229.0,50.0
11,12,150.705,46.398,150.7,46.4,0.0,0.9,5.0,10,111.3,229.0,49.0
12,13,150.805,46.398,150.8,46.4,0.0,0.9,5.0,10,105.3,229.0,49.0
13,14,150.905,46.398,150.9,46.4,0.0,0.9,5.0,10,99.5,229.0,48.0
14,15,151.005,46.398,151.0,46.4,0.0,0.9,5.0,10,93.8,229.0,48.0
15,16,151.105,46.398,151.1,46.4,0.0,0.9,5.0,10,88.1,229.0,48.0
16,17,151.205,46.398,151.2,46.4,0.0,0.9,5.0,10,82.2,228.0,47.0
17,18,151.305,46.398,151.3,46.4,0.0,0.9,5.0,10,76.4,229.0,46.0
18,19,150.305,46.298,150.3,46.3,0.0,0.9,5.0,10,125.1,227.0,51.0
19,20,150.405,46.298,150.4,46.3,0.0,0.9,5.0,10,118.9,229.0,51.0
20,21,150.505,46.298,150.5,46.3,0.0,0.9,5.0,10,113.1,230.0,51.0
21,22,150.605,46.298,150.6,46.3,0.0,0.9,5.0,10,107.4,230.0,50.0
22,23,150.705,46.298,150.7,46.3,0.0,0.9,5.0,10,101.6,230.0,49.0
23,24,150.805,46.298,150.8,46.3,0.0,0.9,5.0,10,95.8,230.0,48.0
24,25,150.905,46.298,150.9,46.3,0.0,0.9,5.0,10,90.1,229.0,48.0
25,26,151.005,46.298,151.0,46.3,0.0,0.9,5.0,10,84.4,229.0,47.0
26,27,151.105,46.298,151.1,46.3,0.0,0.9,5.0,10,78.6,228.0,46.0
27,28,151.205,46.298,151.2,46.3,0.0,0.9,5.0,10,72.8,228.0,44.0
28,29,151.305,46.298,151.3,46.3,0.0,0.9,5.0,10,67.5,229.0,42.0
29,30,151.405,46.298,151.4,46.3,0.0,0.9,5.0,10,62.6,231.0,40.0
30,31,151.505,46.298,151.5,46.3,0.00898217,0.9,5.0,1,58.1,229.0,37.0
31,32,150.105,46.198,150.1,46.2,0.0,0.9,5.0,10,128.2,224.0,55.0
32,33,150.205,46.198,150.2,46.2,0.0,0.9,5.0,10,121.0,227.0,54.0
33,34,150.305,46.198,150.3,46.2,0.0,0.9,5.0,10,114.5,229.0,53.0
34,35,150.405,46.198,150.4,46.2,0.0,0.9,5.0,10,108.6,231.0,52.0
35,36,150.505,46.198,150.5,46.2,0.0,0.9,5.0,10,103.0,231.0,51.0
36,37,150.605,46.198,150.6,46.2,0.0,0.9,5.0,10,97.6,231.0,49.0
37,38,150.705,46.198,150.7,46.2,0.0,0.9,5.0,10,92.1,231.0,48.0
38,39,150.805,46.198,150.8,46.2,0.0,0.9,5.0,10,86.5,230.0,47.0
39,40,150.905,46.198,150.9,46.2,0.0,0.9,5.0,10,80.8,229.0,46.0
40,41,151.005,46.198,151.0,46.2,0.0,0.9,5.0,10,75.2,229.0,45.0
41,42,151.105,46.198,151.1,46.2,0.0,0.9,5.0,10,69.7,228.0,43.0
42,43,151.205,46.198,151.2,46.2,0.0,0.9,5.0,10,64.1,228.0,41.0
43,44,151.305,46.198,151.3,46.2,0.00866472,0.9,5.0,1,59.6,229.0,38.0
44,45,151.405,46.198,151.4,46.2,0.0091029,0.9,5.0,1,56.3,230.0,37.0
45,46,151.505,46.198,151.5,46.2,0.00954291,0.9,5.0,1,53.0,231.0,34.0
46,47,151.605,46.198,151.6,46.2,0.00995406,0.9,5.0,1,50.3,230.0,32.0
47,48,149.905,46.098,149.9,46.1,0.0,0.9,5.0,10,136.7,220.0,56.0
48,49,150.005,46.098,150.0,46.1,0.0,0.9,5.0,10,126.0,224.0,58.0
49,50,150.105,46.098,150.1,46.1,0.0,0.9,5.0,10,117.1,227.0,57.0
50,51,150.205,46.098,150.2,46.1,0.0,0.9,5.0,10,109.5,230.0,55.0
51,52,150.305,46.098,150.3,46.1,0.0,0.9,5.0,10,103.5,232.0,53.0
52,53,150.405,46.098,150.4,46.1,0.0,0.9,5.0,10,98.1,233.0,51.0
53,54,150.505,46.098,150.5,46.1,0.0,0.9,5.0,10,92.9,232.0,50.0
54,55,150.605,46.098,150.6,46.1,0.0,0.9,5.0,10,87.8,232.0,48.0
55,56,150.705,46.098,150.7,46.1,0.0,0.9,5.0,10,82.7,231.0,47.0
56,57,150.805,46.098,150.8,46.1,0.0,0.9,5.0,10,77.4,230.0,45.0
57,58,150.905,46.098,150.9,46.1,0.0,0.9,5.0,10,71.9,229.0,43.0
58,59,151.005,46.098,151.0,46.1,0.0,0.9,5.0,10,66.5,229.0,42.0
59,60,151.105,46.098,151.1,46.1,0.0085654,0.9,5.0,1,61.9,228.0,40.0
60,61,151.205,46.098,151.2,46.1,0.00894886,0.9,5.0,1,57.6,229.0,38.0
61,62,151.305,46.098,151.3,46.1,0.00942921,0.9,5.0,1,53.9,230.0,35.0
62,63,151.405,46.098,151.4,46.1,0.0099552,0.9,5.0,1,51.0,231.0,33.0
63,64,151.505,46.098,151.5,46.1,0.0104743,0.9,5.0,1,48.2,231.0,32.0
64,65,151.605,46.098,151.6,46.1,0.0109487,0.9,5.0,1,45.7,231.0,29.0
65,66,151.705,46.098,151.7,46.1,0.01136,0.9,5.0,1,43.2,230.0,28.0
66,67,149.705,45.998,149.7,46.0,0.0,0.9,5.0,10,145.7,225.0,54.0
67,68,149.805,45.998,149.8,46.0,0.0,0.9,5.0,10,136.4,225.0,56.0
68,69,149.905,45.998,149.9,46.0,0.0,0.9,5.0,10,123.7,226.0,58.0
69,70,150.005,45.998,150.0,46.0,0.0,0.9,5.0,10,113.7,229.0,58.0
70,71,150.105,45.998,150.1,46.0,0.0,0.9,5.0,10,105.3,231.0,57.0
71,72,150.205,45.998,150.2,46.0,0.0,0.9,5.0,10,97.7,232.0,54.0
72,73,150.305,45.998,150.3,46.0,0.0,0.9,5.0,10,92.6,233.0,52.0
73,74,150.405,45.998,150.4,46.0,0.0,0.9,5.0,10,87.7,233.0,49.0
74,75,150.505,45.998,150.5,46.0,0.0,0.9,5.0,10,82.8,233.0,47.0
75,76,150.605,45.998,150.6,46.0,0.0,0.9,5.0,10,78.1,233.0,46.0
76,77,150.705,45.998,150.7,46.0,0.0,0.9,5.0,10,73.6,232.0,44.0
77,78,150.805,45.998,150.8,46.0,0.0,0.9,5.0,10,68.9,231.0,42.0
78,79,150.905,45.998,150.9,46.0,0.00881775,0.9,5.0,1,63.7,229.0,40.0
79,80,151.005,45.998,151.0,46.0,0.00903758,0.9,5.0,1,58.3,229.0,38.0
80,81,151.105,45.998,151.1,46.0,0.00940787,0.9,5.0,1,55.1,229.0,37.0
81,82,151.205,45.998,151.2,46.0,0.00992677,0.9,5.0,1,52.0,230.0,35.0
82,83,151.305,45.998,151.3,46.0,0.0105374,0.9,5.0,1,49.0,231.0,32.0
83,84,151.405,45.998,151.4,46.0,0.0111632,0.9,5.0,1,46.2,231.0,31.0
84,85,151.505,45.998,151.5,46.0,0.0117388,0.9,5.0,1,43.6,231.0,29.0
85,86,151.605,45.998,151.6,46.0,0.01222,0.9,5.0,1,41.1,231.0,28.0
86,87,151.705,45.998,151.7,46.0,0.0125834,0.9,5.0,1,38.7,231.0,28.0
87,88,151.805,45.998,151.8,46.0,0.0128277,0.9,5.0,1,36.1,230.0,27.0
88,89,149.505,45.898,149.5,45.9,0.0,0.9,5.0,10,145.6,231.0,55.0
89,90,149.605,45.898,149.6,45.9,0.0,0.9,5.0,10,136.2,229.0,58.0
90,91,149.705,45.898,149.7,45.9,0.0,0.9,5.0,10,127.6,229.0,59.0
91,92,149.805,45.898,149.8,45.9,0.0,0.9,5.0,10,116.7,229.0,59.0
92,93,149.905,45.898,149.9,45.9,0.0,0.9,5.0,10,106.9,231.0,57.0
93,94,150.005,45.898,150.0,45.9,0.0,0.9,5.0,10,100.3,233.0,56.0
94,95,150.105,45.898,150.1,45.9,0.0,0.9,5.0,10,94.0,234.0,54.0
95,96,150.205,45.898,150.2,45.9,0.0,0.9,5.0,10,88.0,234.0,52.0
96,97,150.305,45.898,150.3,45.9,0.0,0.9,5.0,10,82.9,234.0,48.0
97,98,150.405,45.898,150.4,45.9,0.0,0.9,5.0,10,77.9,233.0,46.0
98,99,150.505,45.898,150.5,45.9,0.0,0.9,5.0,10,72.8,233.0,44.0
99,100,150.605,45.898,150.6,45.9,0.0,0.9,5.0,10,68.5,232.0,42.0
100,101,150.705,45.898,150.7,45.9,0.00925618,0.9,5.0,1,65.0,232.0,41.0
101,102,150.805,45.898,150.8,45.9,0.00942276,0.9,5.0,1,61.2,232.0,39.0
102,103,150.905,45.898,150.9,45.9,0.00960302,0.9,5.0,1,57.0,230.0,36.0
103,104,151.005,45.898,151.0,45.9,0.00990567,0.9,5.0,1,52.9,230.0,35.0
104,105,151.105,45.898,151.1,45.9,0.0103862,0.9,5.0,1,49.7,230.0,33.0
105,106,151.205,45.898,151.2,45.9,0.0110146,0.9,5.0,1,46.9,231.0,32.0
106,107,151.305,45.898,151.3,45.9,0.0117056,0.9,5.0,1,44.2,231.0,30.0
107,108,151.405,45.898,151.4,45.9,0.0123677,0.9,5.0,1,41.5,231.0,28.0
108,109,151.505,45.898,151.5,45.9,0.0129314,0.9,5.0,1,39.0,231.0,28.0
109,110,151.605,45.898,151.6,45.9,0.0133468,0.9,5.0,1,36.6,231.0,27.0
110,111,151.705,45.898,151.7,45.9,0.0135842,0.9,5.0,1,34.2,231.0,27.0
111,112,151.805,45.898,151.8,45.9,0.0136441,0.9,5.0,1,31.7,231.0,25.0
112,113,151.905,45.898,151.9,45.9,0.0135605,0.9,5.0,1,29.2,231.0,25.0
113,114,149.305,45.798,149.3,45.8,0.0,0.9,5.0,10,146.1,233.0,56.0
114,115,149.405,45.798,149.4,45.8,0.0,0.9,5.0,10,140.8,233.0,57.0
115,116,149.505,45.798,149.5,45.8,0.0,0.9,5.0,10,129.4,233.0,58.0
116,117,149.605,45.798,149.6,45.8,0.0,0.9,5.0,10,119.4,232.0,59.0
117,118,149.705,45.798,149.7,45.8,0.0,0.9,5.0,10,110.5,233.0,59.0
118,119,149.805,45.798,149.8,45.8,0.0,0.9,5.0,10,100.5,232.0,57.0
119,120,149.905,45.798,149.9,45.8,0.0,0.9,5.0,10,92.9,233.0,54.0
120,121,150.005,45.798,150.0,45.8,0.0,0.9,5.0,10,88.3,234.0,52.0
121,122,150.105,45.798,150.1,45.8,0.0,0.9,5.0,10,83.5,235.0,50.0
122,123,150.205,45.798,150.2,45.8,0.0,0.9,5.0,10,78.7,234.0,47.0
123,124,150.305,45.798,150.3,45.8,0.0,0.9,5.0,10,74.0,234.0,45.0
124,125,150.405,45.798,150.4,45.8,0.0,0.9,5.0,10,69.1,233.0,42.0
125,126,150.505,45.798,150.5,45.8,0.00924115,0.9,5.0,1,63.7,232.0,40.0
126,127,150.605,45.798,150.6,45.8,0.00963227,0.9,5.0,1,59.8,233.0,38.0
127,128,150.705,45.798,150.7,45.8,0.00995596,0.9,5.0,1,57.4,232.0,37.0
128,129,150.805,45.798,150.8,45.8,0.0102243,0.9,5.0,1,54.5,231.0,35.0
129,130,150.905,45.798,150.9,45.8,0.0105153,0.9,5.0,1,51.1,231.0,32.0
130,131,151.005,45.798,151.0,45.8,0.0109082,0.9,5.0,1,47.8,231.0,32.0
131,132,151.105,45.798,151.1,45.8,0.0114221,0.9,5.0,1,44.9,231.0,31.0
132,133,151.205,45.798,151.2,45.8,0.0120079,0.9,5.0,1,42.2,232.0,30.0
133,134,151.305,45.798,151.3,45.8,0.0125938,0.9,5.0,1,39.6,232.0,29.0
134,135,151.405,45.798,151.4,45.8,0.013123,0.9,5.0,1,37.0,231.0,27.0
135,136,151.505,45.798,151.5,45.8,0.0135541,0.9,5.0,1,34.6,231.0,26.0
136,137,151.605,45.798,151.6,45.8,0.0138396,0.9,5.0,1,32.2,231.0,25.0
137,138,151.705,45.798,151.7,45.8,0.0139338,0.9,5.0,1,29.7,231.0,25.0
138,139,151.805,45.798,151.8,45.8,0.0138278,0.9,5.0,1,27.5,231.0,24.0
139,140,151.905,45.798,151.9,45.8,0.0135696,0.9,5.0,1,25.2,231.0,22.0
140,141,152.005,45.798,152.0,45.8,0.0132426,0.9,5.0,1,22.8,231.0,19.0
141,142,149.105,45.698,149.1,45.7,0.0,0.9,5.0,10,147.1,233.0,56.0
142,143,149.205,45.698,149.2,45.7,0.0,0.9,5.0,10,136.8,233.0,60.0
143,144,149.305,45.698,149.3,45.7,0.0,0.9,5.0,10,128.6,234.0,60.0
