,# MNO,JLG,JLA,WLG,WLA,FRQ,BVL,MMN,ANO,DEP,STR,DIP
0,1,150.905,46.598,150.9,46.6,0.000971576,0.9,5.0,10,148.7,0.0,0.0
1,2,151.005,46.598,151.0,46.6,0.0010486,0.9,5.0,10,143.1,0.0,0.0
2,3,151.105,46.598,151.1,46.6,0.00117358,0.9,5.0,10,137.4,0.0,0.0
3,4,150.705,46.498,150.7,46.5,0.000936665,0.9,5.0,10,151.0,0.0,0.0
4,5,150.805,46.498,150.8,46.5,0.000972981,0.9,5.0,10,145.0,0.0,0.0
5,6,150.905,46.498,150.9,46.5,0.0010388,0.9,5.0,10,139.1,0.0,0.0
6,7,151.005,46.498,151.0,46.5,0.00115294,0.9,5.0,10,133.4,0.0,0.0
7,8,151.105,46.498,151.1,46.5,0.00133588,0.9,5.0,10,127.8,0.0,0.0
8,9,151.205,46.498,151.2,46.5,0.001603,0.9,5.0,10,122.0,0.0,0.0
9,10,150.505,46.398,150.5,46.4,0.000951793,0.9,5.0,10,152.9,0.0,0.0
10,11,150.605,46.398,150.6,46.4,0.000980994,0.9,5.0,10,147.1,0.0,0.0
11,12,150.705,46.398,150.7,46.4,0.00101833,0.9,5.0,10,141.3,0.0,0.0
12,13,150.805,46.398,150.8,46.4,0.00107203,0.9,5.0,10,135.3,0.0,0.0
13,14,150.905,46.398,150.9,46.4,0.00115935,0.9,5.0,10,129.5,0.0,0.0
14,15,151.005,46.398,151.0,46.4,0.00130581,0.9,5.0,10,123.8,0.0,0.0
15,16,151.105,46.398,151.1,46.4,0.0015376,0.9,5.0,10,118.1,0.0,0.0
16,17,151.205,46.398,151.2,46.4,0.00186841,0.9,5.0,10,112.2,0.0,0.0
17,18,151.305,46.398,151.3,46.4,0.00228646,0.9,5.0,10,106.4,0.0,0.0
18,19,150.305,46.298,150.3,46.3,0.000968115,0.9,5.0,10,155.1,0.0,0.0
19,20,150.405,46.298,150.4,46.3,0.0010118,0.9,5.0,10,148.9,0.0,0.0
20,21,150.505,46.298,150.5,46.3,0.0010689,0.9,5.0,10,143.1,0.0,0.0
21,22,150.605,46.298,150.6,46.3,0.00113618,0.9,5.0,10,137.4,0.0,0.0
22,23,150.705,46.298,150.7,46.3,0.00120905,0.9,5.0,10,131.6,0.0,0.0
23,24,150.805,46.298,150.8,46.3,0.00129012,0.9,5.0,10,125.8,0.0,0.0
24,25,150.905,46.298,150.9,46.3,0.00139647,0.9,5.0,10,120.1,0.0,0.0
25,26,151.005,46.298,151.0,46.3,0.00156058,0.9,5.0,10,114.4,0.0,0.0
26,27,151.105,46.298,151.1,46.3,0.00181811,0.9,5.0,10,108.6,0.0,0.0
27,28,151.205,46.298,151.2,46.3,0.00218671,0.9,5.0,10,102.8,0.0,0.0
28,29,151.305,46.298,151.3,46.3,0.00264997,0.9,5.0,10,97.5,0.0,0.0
29,30,151.405,46.298,151.4,46.3,0.00315933,0.9,5.0,10,92.6,0.0,0.0
30,31,151.505,46.298,151.5,46.3,0.00299406,0.9,5.0,1,88.1,0.0,0.0
31,32,150.105,46.198,150.1,46.2,0.00098036,0.9,5.0,10,158.2,0.0,0.0
32,33,150.205,46.198,150.2,46.2,0.00101942,0.9,5.0,10,151.0,0.0,0.0
33,34,150.305,46.198,150.3,46.2,0.00109049,0.9,5.0,10,144.5,0.0,0.0
34,35,150.405,46.198,150.4,46.2,0.0011921,0.9,5.0,10,138.6,0.0,0.0
35,36,150.505,46.198,150.5,46.2,0.00131846,0.9,5.0,10,133.0,0.0,0.0
36,37,150.605,46.198,150.6,46.2,0.00145617,0.9,5.0,10,127.6,0.0,0.0
37,38,150.705,46.198,150.7,46.2,0.00158795,0.9,5.0,10,122.1,0.0,0.0
38,39,150.805,46.198,150.8,46.2,0.00170735,0.9,5.0,10,116.5,0.0,0.0
39,40,150.905,46.198,150.9,46.2,0.00183257,0.9,5.0,10,110.8,0.0,0.0
40,41,151.005,46.198,151.0,46.2,0.00200869,0.9,5.0,10,105.2,0.0,0.0
41,42,151.105,46.198,151.1,46.2,0.00228757,0.9,5.0,10,99.7,0.0,0.0
42,43,151.205,46.198,151.2,46.2,0.00269629,0.9,5.0,10,94.1,0.0,0.0
43,44,151.305,46.198,151.3,46.2,0.00288824,0.9,5.0,1,89.6,0.0,0.0
44,45,151.405,46.198,151.4,46.2,0.0030343,0.9,5.0,1,86.3,0.0,0.0
45,46,151.505,46.198,151.5,46.2,0.00318097,0.9,5.0,1,83.0,0.0,0.0
46,47,151.605,46.198,151.6,46.2,0.00331802,0.9,5.0,1,80.3,0.0,0.0
47,48,149.905,46.098,149.9,46.1,0.00112144,0.9,5.0,10,166.7,0.0,0.0
48,49,150.005,46.098,150.0,46.1,0.00108737,0.9,5.0,10,156.0,0.0,0.0
49,50,150.105,46.098,150.1,46.1,0.00110407,0.9,5.0,10,147.1,0.0,0.0
50,51,150.205,46.098,150.2,46.1,0.00118195,0.9,5.0,10,139.5,0.0,0.0
51,52,150.305,46.098,150.3,46.1,0.00132606,0.9,5.0,10,133.5,0.0,0.0
52,53,150.405,46.098,150.4,46.1,0.00152976,0.9,5.0,10,128.1,0.0,0.0
53,54,150.505,46.098,150.5,46.1,0.00176978,0.9,5.0,10,122.9,0.0,0.0
54,55,150.605,46.098,150.6,46.1,0.00200804,0.9,5.0,10,117.8,0.0,0.0
55,56,150.705,46.098,150.7,46.1,0.00220817,0.9,5.0,10,112.7,0.0,0.0
56,57,150.805,46.098,150.8,46.1,0.0023626,0.9,5.0,10,107.4,0.0,0.0
57,58,150.905,46.098,150.9,46.1,0.00250909,0.9,5.0,10,101.9,0.0,0.0
58,59,151.005,46.098,151.0,46.1,0.0027217,0.9,5.0,10,96.5,0.0,0.0
59,60,151.105,46.098,151.1,46.1,0.00285513,0.9,5.0,1,91.9,0.0,0.0
60,61,151.205,46.098,151.2,46.1,0.00298295,0.9,5.0,1,87.6,0.0,0.0
