,# MNO,JLG,JLA,WLG,WLA,FRQ,BVL,MMN,ANO,DEP,STR,DIP
0,1,136.803,35.597,136.8,35.6,0.000194965,0.9,5.0,1,57.4,279.0,29.0
1,2,136.903,35.597,136.9,35.6,0.000181071,0.9,5.0,1,59.4,283.0,31.0
2,3,137.003,35.597,137.0,35.6,0.000175284,0.9,5.0,1,60.2,286.0,30.0
3,4,137.103,35.597,137.1,35.6,0.00017737,0.9,5.0,1,61.3,288.0,29.0
4,5,137.203,35.597,137.2,35.6,0.000184698,0.9,5.0,1,62.8,287.0,26.0
5,6,137.303,35.597,137.3,35.6,0.000194438,0.9,5.0,1,64.0,277.0,22.0
6,7,135.903,35.497,135.9,35.5,0.000141723,0.9,5.0,1,78.9,213.0,33.0
7,8,136.003,35.497,136.0,35.5,0.000165855,0.9,5.0,1,73.5,214.0,33.0
8,9,136.103,35.497,136.1,35.5,0.000194171,0.9,5.0,1,68.2,216.0,32.0
9,10,136.203,35.497,136.2,35.5,0.00021916,0.9,5.0,1,63.3,218.0,30.0
10,11,136.303,35.497,136.3,35.5,0.00023525,0.9,5.0,1,59.0,221.0,28.0
11,12,136.403,35.497,136.4,35.5,0.000243568,0.9,5.0,1,55.5,228.0,26.0
12,13,136.503,35.497,136.5,35.5,0.000247885,0.9,5.0,1,52.7,236.0,24.0
13,14,136.603,35.497,136.6,35.5,0.000248307,0.9,5.0,1,50.4,247.0,24.0
14,15,136.703,35.497,136.7,35.5,0.000242963,0.9,5.0,1,48.9,260.0,25.0
15,16,136.803,35.497,136.8,35.5,0.000233315,0.9,5.0,1,49.0,276.0,27.0
16,17,136.903,35.497,136.9,35.5,0.000224134,0.9,5.0,1,51.0,286.0,31.0
17,18,137.003,35.497,137.0,35.5,0.000219563,0.9,5.0,1,53.3,290.0,32.0
18,19,137.103,35.497,137.1,35.5,0.000221007,0.9,5.0,1,55.4,290.0,30.0
19,20,137.203,35.497,137.2,35.5,0.00022784,0.9,5.0,1,57.9,288.0,28.0
20,21,137.303,35.497,137.3,35.5,0.000238367,0.9,5.0,1,59.9,283.0,26.0
21,22,137.403,35.497,137.4,35.5,0.000249255,0.9,5.0,1,60.4,270.0,25.0
22,23,135.803,35.397,135.8,35.4,0.000122165,0.9,5.0,1,80.3,211.0,32.0
23,24,135.903,35.397,135.9,35.4,0.000136279,0.9,5.0,1,74.8,210.0,31.0
24,25,136.003,35.397,136.0,35.4,0.000157415,0.9,5.0,1,69.3,210.0,31.0
25,26,136.103,35.397,136.1,35.4,0.000182391,0.9,5.0,1,64.2,211.0,29.0
26,27,136.203,35.397,136.2,35.4,0.000204788,0.9,5.0,1,59.4,212.0,27.0
27,28,136.303,35.397,136.3,35.4,0.000220529,0.9,5.0,1,55.4,215.0,24.0
28,29,136.403,35.397,136.4,35.4,0.000231746,0.9,5.0,1,51.7,216.0,21.0
29,30,136.503,35.397,136.5,35.4,0.000242814,0.9,5.0,1,48.1,222.0,20.0
30,31,136.603,35.397,136.6,35.4,0.000254766,0.9,5.0,1,44.7,224.0,15.0
31,32,136.703,35.397,136.7,35.4,0.000265401,0.9,5.0,1,41.4,235.0,11.0
32,33,136.803,35.397,136.8,35.4,0.000272404,0.9,5.0,1,40.5,264.0,18.0
33,34,136.903,35.397,136.9,35.4,0.000275156,0.9,5.0,1,43.0,292.0,23.0
34,35,137.003,35.397,137.0,35.4,0.000275075,0.9,5.0,1,46.2,295.0,28.0
35,36,137.103,35.397,137.1,35.4,0.000275401,0.9,5.0,1,49.0,292.0,29.0
36,37,137.203,35.397,137.2,35.4,0.000279914,0.9,5.0,1,51.3,288.0,28.0
37,38,137.303,35.397,137.3,35.4,0.000289474,0.9,5.0,1,53.0,281.0,28.0
38,39,137.403,35.397,137.4,35.4,0.000298686,0.9,5.0,1,53.6,272.0,28.0
39,40,137.503,35.397,137.5,35.4,0.000298055,0.9,5.0,1,53.5,261.0,28.0
40,41,137.603,35.397,137.6,35.4,0.000282555,0.9,5.0,1,52.4,249.0,28.0
41,42,135.803,35.297,135.8,35.3,0.000117385,0.9,5.0,1,76.7,208.0,30.0
42,43,135.903,35.297,135.9,35.3,0.00012718,0.9,5.0,1,71.2,207.0,29.0
43,44,136.003,35.297,136.0,35.3,0.000142187,0.9,5.0,1,65.8,206.0,27.0
44,45,136.103,35.297,136.1,35.3,0.000160288,0.9,5.0,1,60.7,205.0,25.0
45,46,136.203,35.297,136.2,35.3,0.000177274,0.9,5.0,1,56.5,206.0,23.0
46,47,136.303,35.297,136.3,35.3,0.000190973,0.9,5.0,1,52.6,207.0,21.0
47,48,136.403,35.297,136.4,35.3,0.000203764,0.9,5.0,1,48.8,207.0,19.0
48,49,136.503,35.297,136.5,35.3,0.000219911,0.9,5.0,1,45.2,210.0,17.0
49,50,136.603,35.297,136.6,35.3,0.000241974,0.9,5.0,1,41.3,214.0,16.0
50,51,136.703,35.297,136.7,35.3,0.000269141,0.9,5.0,1,38.7,207.0,15.0
51,52,136.803,35.297,136.8,35.3,0.000296324,0.9,5.0,1,38.0,242.0,12.0
52,53,136.903,35.297,136.9,35.3,0.000315968,0.9,5.0,1,38.5,275.0,13.0
53,54,137.003,35.297,137.0,35.3,0.000323968,0.9,5.0,1,41.0,299.0,21.0
54,55,137.103,35.297,137.1,35.3,0.000324311,0.9,5.0,1,43.2,294.0,24.0
55,56,137.203,35.297,137.2,35.3,0.000326168,0.9,5.0,1,44.9,286.0,24.0
56,57,137.303,35.297,137.3,35.3,0.00033388,0.9,5.0,1,46.1,279.0,26.0
57,58,137.403,35.297,137.4,35.3,0.000339977,0.9,5.0,1,46.6,272.0,26.0
58,59,137.503,35.297,137.5,35.3,0.00033167,0.9,5.0,1,46.5,263.0,27.0
59,60,137.603,35.297,137.6,35.3,0.00030637,0.9,5.0,1,45.6,254.0,26.0
60,61,137.703,35.297,137.7,35.3,0.000279265,0.9,5.0,1,43.9,246.0,26.0
61,62,137.803,35.297,137.8,35.3,0.000273723,0.9,5.0,1,41.4,238.0,26.0
62,63,138.203,35.297,138.2,35.3,0.000321093,0.9,5.0,1,27.1,222.0,26.0
63,64,138.303,35.297,138.3,35.3,0.000273632,0.9,5.0,1,21.8,218.0,24.0
64,65,138.403,35.297,138.4,35.3,0.000225373,0.9,5.0,1,18.1,225.0,23.0
65,66,135.703,35.197,135.7,35.2,0.000110877,0.9,5.0,1,78.7,208.0,28.0
66,67,135.803,35.197,135.8,35.2,0.000113871,0.9,5.0,1,73.5,206.0,27.0
67,68,135.903,35.197,135.9,35.2,0.000119333,0.9,5.0,1,68.2,204.0,26.0
68,69,136.003,35.197,136.0,35.2,0.000127618,0.9,5.0,1,63.0,202.0,25.0
69,70,136.103,35.197,136.1,35.2,0.000137754,0.9,5.0,1,58.3,203.0,24.0
70,71,136.203,35.197,136.2,35.2,0.000148042,0.9,5.0,1,54.4,203.0,23.0
71,72,136.303,35.197,136.3,35.2,0.000158167,0.9,5.0,1,50.7,202.0,22.0
