,# MNO,JLG,JLA,WLG,WLA,FRQ,BVL,MMN,ANO,DEP,STR,DIP
0,1,136.803,35.597,136.8,35.6,0.000584894,0.9,5.0,1,67.4,0.0,0.0
1,2,136.903,35.597,136.9,35.6,0.000543214,0.9,5.0,1,69.4,0.0,0.0
2,3,137.003,35.597,137.0,35.6,0.000525852,0.9,5.0,1,70.2,0.0,0.0
3,4,137.103,35.597,137.1,35.6,0.000532111,0.9,5.0,1,71.3,0.0,0.0
4,5,137.203,35.597,137.2,35.6,0.000554094,0.9,5.0,1,72.8,0.0,0.0
5,6,137.303,35.597,137.3,35.6,0.000583314,0.9,5.0,1,74.0,0.0,0.0
6,7,135.903,35.497,135.9,35.5,0.00042517,0.9,5.0,1,88.9,0.0,0.0
7,8,136.003,35.497,136.0,35.5,0.000497567,0.9,5.0,1,83.5,0.0,0.0
8,9,136.103,35.497,136.1,35.5,0.000582513,0.9,5.0,1,78.2,0.0,0.0
9,10,136.203,35.497,136.2,35.5,0.000657482,0.9,5.0,1,73.3,0.0,0.0
10,11,136.303,35.497,136.3,35.5,0.00070575,0.9,5.0,1,69.0,0.0,0.0
11,12,136.403,35.497,136.4,35.5,0.000730706,0.9,5.0,1,65.5,0.0,0.0
12,13,136.503,35.497,136.5,35.5,0.000743655,0.9,5.0,1,62.7,0.0,0.0
13,14,136.603,35.497,136.6,35.5,0.000744922,0.9,5.0,1,60.4,0.0,0.0
14,15,136.703,35.497,136.7,35.5,0.000728889,0.9,5.0,1,58.9,0.0,0.0
15,16,136.803,35.497,136.8,35.5,0.000699945,0.9,5.0,1,59.0,0.0,0.0
16,17,136.903,35.497,136.9,35.5,0.000672402,0.9,5.0,1,61.0,0.0,0.0
17,18,137.003,35.497,137.0,35.5,0.000658688,0.9,5.0,1,63.3,0.0,0.0
18,19,137.103,35.497,137.1,35.5,0.000663021,0.9,5.0,1,65.4,0.0,0.0
19,20,137.203,35.497,137.2,35.5,0.000683522,0.9,5.0,1,67.9,0.0,0.0
20,21,137.303,35.497,137.3,35.5,0.000715103,0.9,5.0,1,69.9,0.0,0.0
21,22,137.403,35.497,137.4,35.5,0.000747765,0.9,5.0,1,70.4,0.0,0.0
22,23,135.803,35.397,135.8,35.4,0.000366496,0.9,5.0,1,90.3,0.0,0.0
23,24,135.903,35.397,135.9,35.4,0.000408836,0.9,5.0,1,84.8,0.0,0.0
24,25,136.003,35.397,136.0,35.4,0.000472245,0.9,5.0,1,79.3,0.0,0.0
25,26,136.103,35.397,136.1,35.4,0.000547173,0.9,5.0,1,74.2,0.0,0.0
