,# MNO,JLG,JLA,WLG,WLA,FRQ,BVL,MMN,ANO,DEP,STR,DIP
0,1,142.304,42.597,142.3,42.6,0.00114074,0.9,5.0,1,35.0,315.0,45.0
1,2,142.404,42.597,142.4,42.6,0.00121045,0.9,5.0,1,35.0,315.0,45.0
2,3,142.504,42.597,142.5,42.6,0.00129283,0.9,5.0,1,35.0,315.0,45.0
3,4,142.604,42.597,142.6,42.6,0.00137229,0.9,5.0,1,35.0,315.0,45.0
4,5,142.704,42.597,142.7,42.6,0.00142374,0.9,5.0,1,35.0,315.0,45.0
5,6,142.804,42.597,142.8,42.6,0.00142715,0.9,5.0,1,35.0,315.0,45.0
6,7,142.904,42.597,142.9,42.6,0.00138192,0.9,5.0,1,35.0,315.0,45.0
7,8,143.004,42.597,143.0,42.6,0.00130502,0.9,5.0,1,35.0,315.0,45.0
8,9,142.304,42.497,142.3,42.5,0.00126316,0.9,5.0,1,35.0,315.0,45.0
9,10,142.404,42.497,142.4,42.5,0.00132781,0.9,5.0,1,35.0,315.0,45.0
10,11,142.504,42.497,142.5,42.5,0.0013894,0.9,5.0,1,35.0,315.0,45.0
11,12,142.604,42.497,142.6,42.5,0.00143116,0.9,5.0,1,35.0,315.0,45.0
12,13,142.704,42.497,142.7,42.5,0.00143588,0.9,5.0,1,35.0,315.0,45.0
13,14,142.804,42.497,142.8,42.5,0.00139747,0.9,5.0,1,35.0,315.0,45.0
14,15,142.904,42.497,142.9,42.5,0.00132589,0.9,5.0,1,35.0,315.0,45.0
15,16,143.004,42.497,143.0,42.5,0.0012398,0.9,5.0,1,35.0,315.0,45.0
16,17,142.304,42.397,142.3,42.4,0.00148423,0.9,5.0,1,35.0,315.0,45.0
17,18,142.404,42.397,142.4,42.4,0.0015509,0.9,5.0,1,35.0,315.0,45.0
18,19,142.504,42.397,142.5,42.4,0.00159155,0.9,5.0,1,35.0,315.0,45.0
19,20,142.604,42.397,142.6,42.4,0.00158621,0.9,5.0,1,35.0,315.0,45.0
20,21,142.704,42.397,142.7,42.4,0.00152712,0.9,5.0,1,35.0,315.0,45.0
21,22,142.804,42.397,142.8,42.4,0.00142678,0.9,5.0,1,35.0,315.0,45.0
22,23,142.904,42.397,142.9,42.4,0.00131058,0.9,5.0,1,35.0,315.0,45.0
23,24,143.004,42.397,143.0,42.4,0.00120133,0.9,5.0,1,35.0,315.0,45.0
24,25,142.304,42.297,142.3,42.3,0.00178773,0.9,5.0,1,35.0,315.0,45.0
25,26,142.404,42.297,142.4,42.3,0.00187353,0.9,5.0,1,35.0,315.0,45.0
26,27,142.504,42.297,142.5,42.3,0.00190825,0.9,5.0,1,35.0,315.0,45.0
27,28,142.604,42.297,142.6,42.3,0.0018642,0.9,5.0,1,35.0,315.0,45.0
28,29,142.704,42.297,142.7,42.3,0.00173855,0.9,5.0,1,35.0,315.0,45.0
29,30,142.804,42.297,142.8,42.3,0.00156162,0.9,5.0,1,35.0,315.0,45.0
30,31,142.904,42.297,142.9,42.3,0.00137877,0.9,5.0,1,35.0,315.0,45.0
31,32,143.004,42.297,143.0,42.3,0.00122353,0.9,5.0,1,35.0,315.0,45.0
32,33,142.304,42.197,142.3,42.2,0.00205364,0.9,5.0,1,35.0,315.0,45.0
33,34,142.404,42.197,142.4,42.2,0.00217557,0.9,5.0,1,35.0,315.0,45.0
34,35,142.504,42.197,142.5,42.2,0.00223356,0.9,5.0,1,35.0,315.0,45.0
35,36,142.604,42.197,142.6,42.2,0.00218829,0.9,5.0,1,35.0,315.0,45.0
36,37,142.704,42.197,142.7,42.2,0.00202963,0.9,5.0,1,35.0,315.0,45.0
37,38,142.804,42.197,142.8,42.2,0.00179253,0.9,5.0,1,35.0,315.0,45.0
38,39,142.904,42.197,142.9,42.2,0.00153891,0.9,5.0,1,35.0,315.0,45.0
39,40,142.304,42.097,142.3,42.1,0.00215196,0.9,5.0,1,35.0,315.0,45.0
40,41,142.404,42.097,142.4,42.1,0.00231063,0.9,5.0,1,35.0,315.0,45.0
41,42,142.504,42.097,142.5,42.1,0.00241474,0.9,5.0,1,35.0,315.0,45.0
42,43,142.604,42.097,142.6,42.1,0.0024164,0.9,5.0,1,35.0,315.0,45.0
43,44,142.704,42.097,142.7,42.1,0.0022876,0.9,5.0,1,35.0,315.0,45.0
44,45,142.304,41.997,142.3,42.0,0.00206857,0.9,5.0,1,35.0,315.0,45.0
45,46,142.404,41.997,142.4,42.0,0.00224498,0.9,5.0,1,35.0,315.0,45.0
46,47,142.504,41.997,142.5,42.0,0.00239146,0.9,5.0,1,35.0,315.0,45.0
