,Code,Magnitude,Proba,Shape
0,F016021,6.48,1.20226431678e-183,"MLTPLN(PLN((x=-70.5,y=-95.97,d=2.0)(x=-63.62,y=-100.04,d=2.0)(x=-70.5,y=-95.97,d=12.0)(x=-63.62,y=-100.04,d=12.0)),PLN((x=-63.73,y=-100.09,d=2.0)(x=-43.73,y=-100.3,d=2.0)(x=-63.73,y=-100.09,d=12.0)(x=-43.73,y=-100.3,d=12.0)))"
1,F016021,6.62,1.31484101098e-183,"MLTPLN(PLN((x=-70.5,y=-95.97,d=2.0)(x=-63.62,y=-100.04,d=2.0)(x=-70.5,y=-95.97,d=12.0)(x=-63.62,y=-100.04,d=12.0)),PLN((x=-63.73,y=-100.09,d=2.0)(x=-43.73,y=-100.3,d=2.0)(x=-63.73,y=-100.09,d=12.0)(x=-43.73,y=-100.3,d=12.0)))"
0,F017201,6.38,5.4569360976e-08,"MLTPLN(PLN((x=-481.16,y=-25.7,d=2.0)(x=-494.6,y=-12.26,d=2.0)(x=-490.97,y=-8.63,d=14.0)(x=-477.53,y=-22.07,d=14.0)))"
0,F007801,6.48,4.65150870765e-05,"MLTPLN(PLN((x=-381.54,y=-25.7,d=1.0)(x=-406.67,y=-42.08,d=1.0)(x=-381.54,y=-25.7,d=17.0)(x=-406.67,y=-42.08,d=17.0)))"
1,F007801,6.58,3.78088822378e-05,"MLTPLN(PLN((x=-381.54,y=-25.7,d=1.0)(x=-406.67,y=-42.08,d=1.0)(x=-381.54,y=-25.7,d=17.0)(x=-406.67,y=-42.08,d=17.0)))"
2,F007801,6.7,3.61507007406e-05,"MLTPLN(PLN((x=-381.54,y=-25.7,d=1.0)(x=-406.67,y=-42.08,d=1.0)(x=-381.54,y=-25.7,d=17.0)(x=-406.67,y=-42.08,d=17.0)))"
0,F007802,6.48,7.72119746942e-05,"MLTPLN(PLN((x=-384.16,y=-49.49,d=1.0)(x=-413.49,y=-43.2,d=1.0)(x=-384.16,y=-49.49,d=17.0)(x=-413.49,y=-43.2,d=17.0)))"
1,F007802,6.58,6.27602492448e-05,"MLTPLN(PLN((x=-384.16,y=-49.49,d=1.0)(x=-413.49,y=-43.2,d=1.0)(x=-384.16,y=-49.49,d=17.0)(x=-413.49,y=-43.2,d=17.0)))"
2,F007802,6.7,6.00077773942e-05,"MLTPLN(PLN((x=-384.16,y=-49.49,d=1.0)(x=-413.49,y=-43.2,d=1.0)(x=-384.16,y=-49.49,d=17.0)(x=-413.49,y=-43.2,d=17.0)))"
0,F007803,6.48,7.75510882826e-05,"MLTPLN(PLN((x=-368.08,y=-69.51,d=1.0)(x=-394.47,y=-55.24,d=1.0)(x=-368.08,y=-69.51,d=19.0)(x=-394.47,y=-55.24,d=19.0)),PLN((x=-369.07,y=-69.4,d=1.0)(x=-369.7,y=-87.39,d=1.0)(x=-382.42,y=-86.94,d=13.0)(x=-381.79,y=-68.95,d=13.0)))"
1,F007803,6.58,6.30358911179e-05,"MLTPLN(PLN((x=-368.08,y=-69.51,d=1.0)(x=-394.47,y=-55.24,d=1.0)(x=-368.08,y=-69.51,d=19.0)(x=-394.47,y=-55.24,d=19.0)),PLN((x=-369.07,y=-69.4,d=1.0)(x=-369.7,y=-87.39,d=1.0)(x=-382.42,y=-86.94,d=13.0)(x=-381.79,y=-68.95,d=13.0)))"
2,F007803,6.68,5.12374959142e-05,"MLTPLN(PLN((x=-368.08,y=-69.51,d=1.0)(x=-394.47,y=-55.24,d=1.0)(x=-368.08,y=-69.51,d=19.0)(x=-394.47,y=-55.24,d=19.0)),PLN((x=-369.07,y=-69.4,d=1.0)(x=-369.7,y=-87.39,d=1.0)(x=-382.42,y=-86.94,d=13.0)(x=-381.79,y=-68.95,d=13.0)))"
3,F007803,6.78,4.16474002509e-05,"MLTPLN(PLN((x=-368.08,y=-69.51,d=1.0)(x=-394.47,y=-55.24,d=1.0)(x=-368.08,y=-69.51,d=19.0)(x=-394.47,y=-55.24,d=19.0)),PLN((x=-369.07,y=-69.4,d=1.0)(x=-369.7,y=-87.39,d=1.0)(x=-382.42,y=-86.94,d=13.0)(x=-381.79,y=-68.95,d=13.0)))"
4,F007803,6.85,2.4422482969e-05,"MLTPLN(PLN((x=-368.08,y=-69.51,d=1.0)(x=-394.47,y=-55.24,d=1.0)(x=-368.08,y=-69.51,d=19.0)(x=-394.47,y=-55.24,d=19.0)),PLN((x=-369.07,y=-69.4,d=1.0)(x=-369.7,y=-87.39,d=1.0)(x=-382.42,y=-86.94,d=13.0)(x=-381.79,y=-68.95,d=13.0)))"
0,F004602,6.48,0.000175459429266,"MLTPLN(PLN((x=-178.37,y=29.23,d=2.0)(x=-154.33,y=50.35,d=2.0)(x=-178.37,y=29.23,d=18.0)(x=-154.33,y=50.35,d=18.0)))"
1,F004602,6.58,0.000142618778456,"MLTPLN(PLN((x=-178.37,y=29.23,d=2.0)(x=-154.33,y=50.35,d=2.0)(x=-178.37,y=29.23,d=18.0)(x=-154.33,y=50.35,d=18.0)))"
2,F004602,6.7,0.000136363956689,"MLTPLN(PLN((x=-178.37,y=29.23,d=2.0)(x=-154.33,y=50.35,d=2.0)(x=-178.37,y=29.23,d=18.0)(x=-154.33,y=50.35,d=18.0)))"
0,F004601,6.48,0.00135524806561,"MLTPLN(PLN((x=-166.36,y=21.34,d=2.0)(x=-196.18,y=63.93,d=2.0)(x=-166.36,y=21.34,d=18.0)(x=-196.18,y=63.93,d=18.0)))"
1,F004601,6.58,0.0011015869847,"MLTPLN(PLN((x=-166.36,y=21.34,d=2.0)(x=-196.18,y=63.93,d=2.0)(x=-166.36,y=21.34,d=18.0)(x=-196.18,y=63.93,d=18.0)))"
2,F004601,6.68,0.000895403517375,"MLTPLN(PLN((x=-166.36,y=21.34,d=2.0)(x=-196.18,y=63.93,d=2.0)(x=-166.36,y=21.34,d=18.0)(x=-196.18,y=63.93,d=18.0)))"
3,F004601,6.78,0.000727811303203,"MLTPLN(PLN((x=-166.36,y=21.34,d=2.0)(x=-196.18,y=63.93,d=2.0)(x=-166.36,y=21.34,d=18.0)(x=-196.18,y=63.93,d=18.0)))"
4,F004601,6.85,0.000426796367842,"MLTPLN(PLN((x=-166.36,y=21.34,d=2.0)(x=-196.18,y=63.93,d=2.0)(x=-166.36,y=21.34,d=18.0)(x=-196.18,y=63.93,d=18.0)))"
0,F000801,6.48,0.000156106064261,"MLTPLN(PLN((x=80.29,y=698.85,d=2.0)(x=77.07,y=673.05,d=2.0)(x=64.44,y=674.62,d=13.0)(x=67.66,y=700.42,d=13.0)))"
1,F000801,6.62,0.000170723402906,"MLTPLN(PLN((x=80.29,y=698.85,d=2.0)(x=77.07,y=673.05,d=2.0)(x=64.44,y=674.62,d=13.0)(x=67.66,y=700.42,d=13.0)))"
0,F006301,6.48,2.36032342903e-30,"MLTPLN(PLN((x=-333.48,y=-6.46,d=2.0)(x=-356.93,y=18.16,d=2.0)(x=-333.48,y=-6.46,d=18.0)(x=-356.93,y=18.16,d=18.0)))"
1,F006301,6.58,1.91854291113e-30,"MLTPLN(PLN((x=-333.48,y=-6.46,d=2.0)(x=-356.93,y=18.16,d=2.0)(x=-333.48,y=-6.46,d=18.0)(x=-356.93,y=18.16,d=18.0)))"
2,F006301,6.68,1.55945022474e-30,"MLTPLN(PLN((x=-333.48,y=-6.46,d=2.0)(x=-356.93,y=18.16,d=2.0)(x=-333.48,y=-6.46,d=18.0)(x=-356.93,y=18.16,d=18.0)))"
3,F006301,6.77,1.15230240689e-30,"MLTPLN(PLN((x=-333.48,y=-6.46,d=2.0)(x=-356.93,y=18.16,d=2.0)(x=-333.48,y=-6.46,d=18.0)(x=-356.93,y=18.16,d=18.0)))"
0,F006302,6.15,0.000312451176961,"MLTPLN(PLN((x=-322.91,y=-13.91,d=2.0)(x=-329.0,y=-6.48,d=2.0)(x=-322.91,y=-13.91,d=12.0)(x=-329.0,y=-6.48,d=12.0)))"
0,F019501,6.48,5.91768783033e-163,"MLTPLN(PLN((x=-749.87,y=-166.8,d=2.0)(x=-764.74,y=-195.14,d=2.0)(x=-749.87,y=-166.8,d=20.0)(x=-764.74,y=-195.14,d=20.0)))"
1,F019501,6.58,4.81007725363e-163,"MLTPLN(PLN((x=-749.87,y=-166.8,d=2.0)(x=-764.74,y=-195.14,d=2.0)(x=-749.87,y=-166.8,d=20.0)(x=-764.74,y=-195.14,d=20.0)))"
2,F019501,6.68,3.90977757686e-163,"MLTPLN(PLN((x=-749.87,y=-166.8,d=2.0)(x=-764.74,y=-195.14,d=2.0)(x=-749.87,y=-166.8,d=20.0)(x=-764.74,y=-195.14,d=20.0)))"
3,F019501,6.77,2.88899641729e-163,"MLTPLN(PLN((x=-749.87,y=-166.8,d=2.0)(x=-764.74,y=-195.14,d=2.0)(x=-749.87,y=-166.8,d=20.0)(x=-764.74,y=-195.14,d=20.0)))"
0,F002101,6.48,2.71523088909e-11,"MLTPLN(PLN((x=84.71,y=276.31,d=2.0)(x=52.39,y=225.76,d=2.0)(x=41.66,y=232.62,d=13.0)(x=73.99,y=283.17,d=13.0)))"
