,code,process_class,process,magnitude_class,magnitude,shape_class,shape
0,F016021,BrownianPTProcess,"BPT(mu=2000.0,t0=39.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,max=6.62,beta=2.07232658369)",MultiPlaneShape,"MLTPLN(PLN((x=-70.5,y=-95.97,d=2.0)(x=-63.62,y=-100.04,d=2.0)(x=-70.5,y=-95.97,d=12.0)(x=-63.62,y=-100.04,d=12.0)),PLN((x=-63.73,y=-100.09,d=2.0)(x=-43.73,y=-100.3,d=2.0)(x=-63.73,y=-100.09,d=12.0)(x=-43.73,y=-100.3,d=12.0)))"
1,F017201,BrownianPTProcess,"BPT(mu=20000.0,t0=7600.0,alph=0.24)",CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MLTPLN(PLN((x=-481.16,y=-25.7,d=2.0)(x=-494.6,y=-12.26,d=2.0)(x=-490.97,y=-8.63,d=14.0)(x=-477.53,y=-22.07,d=14.0)))"
2,F007801,PoissonProcess,P(lmbd=8300.0),GutenbergRichter,"GR(min=6.38,max=6.7,beta=2.07232658369)",MultiPlaneShape,"MLTPLN(PLN((x=-381.54,y=-25.7,d=1.0)(x=-406.67,y=-42.08,d=1.0)(x=-381.54,y=-25.7,d=17.0)(x=-406.67,y=-42.08,d=17.0)))"
3,F007802,PoissonProcess,P(lmbd=5000.0),GutenbergRichter,"GR(min=6.38,max=6.7,beta=2.07232658369)",MultiPlaneShape,"MLTPLN(PLN((x=-384.16,y=-49.49,d=1.0)(x=-413.49,y=-43.2,d=1.0)(x=-384.16,y=-49.49,d=17.0)(x=-413.49,y=-43.2,d=17.0)))"
4,F007803,BrownianPTProcess,"BPT(mu=3500.0,t0=2400.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,max=6.85,beta=2.07232658369)",MultiPlaneShape,"MLTPLN(PLN((x=-368.08,y=-69.51,d=1.0)(x=-394.47,y=-55.24,d=1.0)(x=-368.08,y=-69.51,d=19.0)(x=-394.47,y=-55.24,d=19.0)),PLN((x=-369.07,y=-69.4,d=1.0)(x=-369.7,y=-87.39,d=1.0)(x=-382.42,y=-86.94,d=13.0)(x=-381.79,y=-68.95,d=13.0)))"
5,F004602,PoissonProcess,P(lmbd=2200.0),GutenbergRichter,"GR(min=6.38,max=6.7,beta=2.07232658369)",MultiPlaneShape,"MLTPLN(PLN((x=-178.37,y=29.23,d=2.0)(x=-154.33,y=50.35,d=2.0)(x=-178.37,y=29.23,d=18.0)(x=-154.33,y=50.35,d=18.0)))"
6,F004601,BrownianPTProcess,"BPT(mu=1800.0,t0=4900.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,max=6.85,beta=2.07232658369)",MultiPlaneShape,"MLTPLN(PLN((x=-166.36,y=21.34,d=2.0)(x=-196.18,y=63.93,d=2.0)(x=-166.36,y=21.34,d=18.0)(x=-196.18,y=63.93,d=18.0)))"
7,F000801,BrownianPTProcess,"BPT(mu=13000.0,t0=14000.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,max=6.62,beta=2.07232658369)",MultiPlaneShape,"MLTPLN(PLN((x=80.29,y=698.85,d=2.0)(x=77.07,y=673.05,d=2.0)(x=64.44,y=674.62,d=13.0)(x=67.66,y=700.42,d=13.0)))"
8,F006301,BrownianPTProcess,"BPT(mu=5600.0,t0=617.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,max=6.77,beta=2.07232658369)",MultiPlaneShape,"MLTPLN(PLN((x=-333.48,y=-6.46,d=2.0)(x=-356.93,y=18.16,d=2.0)(x=-333.48,y=-6.46,d=18.0)(x=-356.93,y=18.16,d=18.0)))"
9,F006302,PoissonProcess,P(lmbd=3200.0),CharacteristicMag,CHAR(mag=6.15),MultiPlaneShape,"MLTPLN(PLN((x=-322.91,y=-13.91,d=2.0)(x=-329.0,y=-6.48,d=2.0)(x=-322.91,y=-13.91,d=12.0)(x=-329.0,y=-6.48,d=12.0)))"
10,F019501,BrownianPTProcess,"BPT(mu=23000.0,t0=517.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,max=6.77,beta=2.07232658369)",MultiPlaneShape,"MLTPLN(PLN((x=-749.87,y=-166.8,d=2.0)(x=-764.74,y=-195.14,d=2.0)(x=-749.87,y=-166.8,d=20.0)(x=-764.74,y=-195.14,d=20.0)))"
11,F002101,BrownianPTProcess,"BPT(mu=8000.0,t0=2200.0,alph=0.24)",GutenbergRichter,"GR(min=6.38,max=6.85,beta=2.07232658369)",MultiPlaneShape,"MLTPLN(PLN((x=84.71,y=276.31,d=2.0)(x=52.39,y=225.76,d=2.0)(x=41.66,y=232.62,d=13.0)(x=73.99,y=283.17,d=13.0)))"
12,F013101,BrownianPTProcess,"BPT(mu=3600.0,t0=1617.0,alph=0.24)",CharacteristicMag,CHAR(mag=6.38),MultiPlaneShape,"MLTPLN(PLN((x=-805.83,y=-321.92,d=3.0)(x=-813.61,y=-340.34,d=3.0)(x=-805.83,y=-321.92,d=17.0)(x=-813.61,y=-340.34,d=17.0)))"
