,code,source,proba1an
0,CGR5_25_8697,ZoneEarthquake,0.000801794
1,CGR5_25_8696,ZoneEarthquake,0.000802024
2,CGR5_25_8695,ZoneEarthquake,0.000801455
3,CGR5_25_8694,ZoneEarthquake,0.000800228
4,CGR5_25_8693,ZoneEarthquake,0.000799268
5,CGR5_25_8692,ZoneEarthquake,0.000799391
6,CGR5_25_8691,ZoneEarthquake,0.000800656
7,CGR5_25_8690,ZoneEarthquake,0.000802669
8,CGR5_18_6598,ZoneEarthquake,0.000970108
9,CGR5_18_6599,ZoneEarthquake,0.000894002
10,CGR5_18_6592,ZoneEarthquake,0.000959468
11,CGR5_18_6593,ZoneEarthquake,0.00105366
12,CGR5_18_6596,ZoneEarthquake,0.00111606
13,CGR5_18_6597,ZoneEarthquake,0.00104946
14,CGR5_18_6594,ZoneEarthquake,0.0011248
15,CGR5_18_6595,ZoneEarthquake,0.00114704
16,CPCF_INTRA_13_5633,DomainEarthquake,0.00138702
17,CPCF_INTRA_13_5632,DomainEarthquake,0.000939642
18,CPCF_INTRA_13_5631,DomainEarthquake,0.000606633
19,CPCF_INTRA_13_5630,DomainEarthquake,0.000438927
20,CPCF_INTRA_13_5635,DomainEarthquake,0.00193223
21,CPCF_INTRA_13_5634,DomainEarthquake,0.00177511
22,CPHL_INTRA_4_1299,ZoneEarthquake,0.00241804
23,CPCF_INTRA_6_3849,ZoneEarthquake,0.000613244
24,CPCF_INTRA_6_3848,ZoneEarthquake,0.000575905
25,CPCF_INTRA_6_3847,ZoneEarthquake,0.000523434
26,CPCF_INTRA_6_3846,ZoneEarthquake,0.000467244
27,CIZU_3_1602,ZoneEarthquake,0.00043554
28,CIZU_3_1603,ZoneEarthquake,0.000524849
29,CIZU_3_1600,ZoneEarthquake,0.000391887
30,CIZU_3_1601,ZoneEarthquake,0.000401179
31,CIZU_3_1606,ZoneEarthquake,0.000933278
32,CIZU_3_1607,ZoneEarthquake,0.000855395
33,CIZU_3_1604,ZoneEarthquake,0.000682508
34,CIZU_3_1605,ZoneEarthquake,0.000855368
35,CIZU_3_1608,ZoneEarthquake,0.00068254
36,CIZU_3_1609,ZoneEarthquake,0.000524961
37,CPHL_INTRA_3_317,ZoneEarthquake,0.00214604
38,CGR5_5_1859,ZoneEarthquake,0.000356489
39,CGR5_5_1858,ZoneEarthquake,0.000385925
40,CPCF_INTRA_1_266,ZoneEarthquake,0.00450656
41,CPCF_INTRA_1_267,ZoneEarthquake,0.00475963
42,CPCF_INTRA_1_264,ZoneEarthquake,0.0042167
43,CPCF_INTRA_1_265,ZoneEarthquake,0.00431708
44,CPCF_INTRA_1_262,ZoneEarthquake,0.00423446
45,CPCF_INTRA_1_263,ZoneEarthquake,0.00419887
46,CPCF_INTRA_1_260,ZoneEarthquake,0.00428179
47,CPCF_INTRA_1_261,ZoneEarthquake,0.00427912
48,CPHL_INTRA_1_832,ZoneEarthquake,0.000411067
49,CPHL_INTRA_1_833,ZoneEarthquake,0.000362301
50,CPCF_INTRA_1_1080,ZoneEarthquake,0.00356937
51,CPCF_INTRA_1_1081,ZoneEarthquake,0.00351215
52,CPCF_INTRA_1_1082,ZoneEarthquake,0.00344052
53,CGR5_15_6849,ZoneEarthquake,0.000677108
54,CGR5_15_6848,ZoneEarthquake,0.000687673
55,CGR5_15_6843,ZoneEarthquake,0.000660125
56,CGR5_15_6842,ZoneEarthquake,0.000731586
57,CGR5_15_6841,ZoneEarthquake,0.00080927
58,CGR5_15_6840,ZoneEarthquake,0.000853838
59,CGR5_15_6847,ZoneEarthquake,0.00067441
60,CGR5_15_6846,ZoneEarthquake,0.000645674
61,CGR5_15_6845,ZoneEarthquake,0.000621211
62,CGR5_15_6844,ZoneEarthquake,0.000621848
63,CGR5_6_1122,ZoneEarthquake,0.000243586
64,CGR5_6_1123,ZoneEarthquake,0.000251465
65,CGR5_6_1120,ZoneEarthquake,0.000240786
66,CGR5_6_1121,ZoneEarthquake,0.000240659
67,CGR5_25_9647,ZoneEarthquake,0.000816449
68,CGR5_25_9646,ZoneEarthquake,0.000816042
69,CGR5_25_9645,ZoneEarthquake,0.000815925
70,CGR5_25_9644,ZoneEarthquake,0.000815889
71,CGR5_25_9643,ZoneEarthquake,0.000815879
72,CGR5_25_9642,ZoneEarthquake,0.000815877
73,CGR5_25_9641,ZoneEarthquake,0.00131398
74,CGR5_25_9640,ZoneEarthquake,0.00153561
75,CGR5_25_9649,ZoneEarthquake,0.000830202
76,CGR5_25_9648,ZoneEarthquake,0.000818659
77,CPCF_INTER_4_3099,ZoneEarthquake,0.0104221
78,CPCF_INTRA_13_7093,DomainEarthquake,0.000362602
79,CPCF_INTRA_13_7092,DomainEarthquake,0.000349581
80,CPCF_INTRA_13_7095,DomainEarthquake,0.000438353
81,CPCF_INTRA_13_7094,DomainEarthquake,0.000391175
82,CPCF_INTRA_13_7097,DomainEarthquake,0.000515671
83,CPCF_INTRA_13_7096,DomainEarthquake,0.000489881
84,CPCF_INTRA_10_470,DomainEarthquake,0.00250388
85,CPCF_INTRA_10_471,DomainEarthquake,0.00278561
86,CPCF_INTRA_10_472,DomainEarthquake,0.00312513
87,CPCF_INTRA_10_473,DomainEarthquake,0.00354205
88,CPCF_INTRA_10_474,DomainEarthquake,0.00406257
89,CGR5_23_6064,ZoneEarthquake,0.000307063
